label,hurr_sum,dhw_mean,dhw_sd,sst_mean,sst_sd,k490_mean,k490_sd,prod_mean,prod_sd,rain_mean,rain_sd,6_depth,9_reef,11_het_hab,11_het_typ,12_nursery,14_pop2000,14_pop2005,14_pop2010,14_pop2015,14_pop2020,15_margin,8_fsas,16_slope,23_watpol,18_river,22_inorpol,13_conlob,13_conyel,7_mpa,,YEAR,REGION
1,0,0.216434909,0.360749675,27.80731438,0.864112916,0.064151609,0.017500054,459.6862459,74.79638547,0.177097573,1.041066268,-21.98297869,7.429845947,3.423681776,9.301572618,11.11046327,3030626.164,3005995.097,2986041.861,2970787.743,2960279.694,78.46332152,47.91785931,0.742927909,143.1267345,20.38724146,1.319099737,0.110335167,0.013174489,17.28096865,,2003,PR-East
2,0,0.036484018,0.072402059,27.79396347,0.843665824,0.049707426,0.023141061,407.6751095,150.3063011,0.072958902,0.370409102,-5.6,6.772957778,3.333333333,8,0.837568444,3251211.925,3210703.531,3174563.357,3142735.397,3115179.312,39.37210978,96.88211433,1.741584444,50,16.74377511,22.90289044,0.064939111,0.069886222,41.35582744,,2003,PR-North
3,0,0.094101471,0.166720687,27.91752471,0.873747238,0.06894586,0.021966967,483.9681222,108.0359984,0.030990157,0.260678256,-17.9007407,26.6272894,4.407407407,11.94074074,11.68437289,3281166.258,3242608.356,3208278.516,3178128.923,3152126.138,72.84777273,76.23468873,1.523534519,752.6666667,14.16934175,3.657318452,0.089790911,0.057989007,23.31995861,,2003,PR-South
4,0,0.083894681,0.148245693,27.96038183,0.893777644,0.068485495,0.020456523,511.304995,120.0227759,0.066994133,0.497468763,-183.9436056,11.72145255,2.810577168,6.434274091,8.981813722,1663604.872,1634361.313,1607354.195,1582574.425,1560043.342,53.27978577,18.18395625,2.251227226,29.5423341,20.73578452,2.646032541,0.103372995,0.048912863,14.72881982,,2003,PR-West
5,0,0.22063164,0.377559328,27.78016213,0.876237125,0.038595012,0.011069416,356.6662147,111.1430795,0.233522456,1.435099326,-22.90997513,34.61359393,3.905236908,10.67830424,7.22890081,242611.3327,246583.6269,251507.0207,257433.6681,264426.3901,41.61275458,11.87552097,2.619826708,12.24438903,151.7127436,0.502346726,0.025053521,0.029791182,13.04619235,,2003,USVI-St. Croix
6,0,0.232903643,0.399943617,27.73279786,0.875274819,0.035315808,0.008555052,326.8549509,94.27718249,0.215587367,0.962736318,-29.18140494,5.920775027,4.367768595,12.40082645,12.76818264,371255.9117,372474.1987,375104.4233,379164.2845,384687.6021,86.75343033,17.74698558,1.273632252,39.5661157,90.01252114,1.047334233,0.040421403,0.018180667,10.18442827,,2003,USVI-St. Thomas
7,0,0.048666886,0.096393498,27.54866135,1.081813853,0.062163632,0.013403204,457.129934,81.21381862,0.241717235,1.28549773,-21.49868878,7.829173385,3.45541958,9.491258741,11.85525186,3044981.512,3020275.994,3000256.653,2984944.45,2974385.934,78.07413769,48.63370567,0.733333164,140.7517483,19.79810822,1.357970193,0.108466859,0.012979174,17.6939192,,2004,PR-East
8,0,0.005713418,0.026980624,27.47248634,1.015924316,0.051103896,0.020341621,462.0667442,135.9156877,0.117152396,0.560365368,-5.6,6.772957778,3.333333333,8,0.837568444,3251211.925,3210703.531,3174563.357,3142735.397,3115179.312,39.37210978,96.88211433,1.741584444,50,16.74377511,22.90289044,0.064939111,0.069886222,41.35582744,,2004,PR-North
9,0,0.060280835,0.114834667,27.74532333,0.964196889,0.063032666,0.016075417,423.0129991,73.98238074,0.097217406,0.668095274,-18.09499998,26.36291042,4.414285714,12.00714286,11.64894712,3311645.374,3272548.777,3237733.971,3207153.47,3180774.434,73.06427999,76.86126524,1.584275286,761.5,13.74875516,3.775946407,0.093649114,0.057998607,23.55229939,,2004,PR-South
10,0.627619288,0.002840854,0.005432654,27.75855453,0.970179815,0.056064217,0.013679863,500.0023661,104.8055108,0.055891498,0.358903083,-182.9674075,11.69308944,2.825549104,6.47311285,8.917606474,1651693.39,1623131.146,1596931.122,1573141.459,1551864.307,53.60209818,18.12275279,2.255327223,29.40419086,21.46241223,2.608935917,0.101910609,0.049044554,15.39041152,,2004,PR-West
11,0,0.149566331,0.269742452,27.68927717,0.988846624,0.039368081,0.010614827,352.587571,64.841925,0.308948871,1.898302095,-22.38963862,34.0623848,3.93253012,10.75903614,7.29008028,242707.1259,246683.6484,251611.764,257543.6746,264542.2567,41.6226583,12.44807327,2.596820988,12.1686747,151.6421303,0.514441263,0.025265116,0.029701667,13.1962501,,2004,USVI-St. Croix
12,0,0.143499292,0.243142738,27.54831678,1.070631982,0.036876169,0.007397971,324.6210363,44.88862531,0.493808883,2.368302981,-28.64961387,6.013275485,4.409266409,12.52702703,12.38496038,369132.299,370313.9864,372904.3683,376921.1039,382397.9517,86.52795209,17.92722809,1.320603185,37.62548263,90.16113727,1.024867898,0.038036529,0.017084048,10.08307687,,2004,USVI-St. Thomas
13,0,2.356384105,3.627349732,28.00732093,1.452584189,0.054515583,0.013412601,440.2975872,103.808524,0.229291611,1.168796341,-23.3886221,8.118392872,3.349686848,8.78914405,10.48030136,2987384.716,2962971.317,2943217.587,2928146.157,2917805.606,79.19010541,45.9926382,0.796442484,147.7244259,22.61625877,1.112699492,0.106784578,0.014731214,16.19295404,,2005,PR-East
14,0,1.357135464,2.253301635,27.92461492,1.392848114,0.051037977,0.023485022,384.3081663,146.1475314,0.121269403,0.642808115,-5.6,6.772957778,3.333333333,8,0.837568444,3251211.925,3210703.531,3174563.357,3142735.397,3115179.312,39.37210978,96.88211433,1.741584444,50,16.74377511,22.90289044,0.064939111,0.069886222,41.35582744,,2005,PR-North
15,0,1.47748918,2.449449192,28.18658492,1.280421082,0.061985999,0.015538841,413.4397372,114.9046191,0.047351101,0.308159087,-17.73913039,26.57602962,4.420289855,11.98550725,11.93792974,3300561.059,3261692.333,3227091.785,3196711.461,3170518.034,72.90173855,77.04214896,1.493100942,758.0434783,13.9110853,3.677269775,0.09145187,0.057648594,22.96705967,,2005,PR-South
16,0,1.154578041,1.924567402,28.17806133,1.350498952,0.056273707,0.014325344,442.6372542,121.4665104,0.055084615,0.388983122,-183.7991371,11.70178809,2.818481848,6.44148261,9.004851042,1666779.856,1637464.066,1610372.491,1585489.762,1562828.379,53.2825121,18.21956442,2.255466243,30.99771516,20.58589997,2.718270816,0.102703551,0.048686732,14.6784258,,2005,PR-West
17,0,2.709130638,4.094520076,28.13063767,1.406433108,0.037793083,0.007631672,288.1407371,37.10402251,0.216142114,1.231157514,-21.79534374,35.35832479,4.026607539,11.05099778,8.11743841,242427.3916,246411.5755,251349.2433,257292.7661,264305.222,41.57999963,12.72839296,2.386942971,11.99556541,151.297199,0.478366326,0.024506257,0.029618647,11.60739339,,2005,USVI-St. Croix
18,0,2.790147341,4.164783655,28.00784643,1.458940749,0.034862133,0.009484932,290.8151792,48.09309639,0.325441779,1.654377278,-28.90332678,5.962571536,4.401174168,12.52641879,12.53109465,368096.8588,369281.4425,371872.1598,375886.8208,381359.3093,86.70739744,17.68525092,1.25351319,38.00391389,90.33542944,1.036943006,0.03843754,0.017220045,9.969357249,,2005,USVI-St. Thomas
19,0,0.991523834,1.668569507,27.84113181,1.169138801,0.057558027,0.010278073,426.370916,57.81545162,0.348841142,1.681801465,-21.94640218,7.436408377,3.425276753,9.311808118,11.12247243,3030699.031,3006047.784,2986074.569,2970800.642,2960272.922,78.51523614,47.86534655,0.745336836,142.8413284,20.4348628,1.317150503,0.110931547,0.013244955,17.23998475,,2006,PR-East
20,0,0.443438356,0.763432193,27.88258356,1.150773766,0.051159302,0.016669435,368.1656747,101.1109516,0.194078077,1.025371132,-5.1,6.508707,3.4,8.1,0.8999876,3414716.834,3372325.341,3334534.039,3301285.649,3272539.705,39.4690937,101.0923187,1.614122,55,17.0761306,22.1327914,0.0784976,0.0716287,39.4680349,,2006,PR-North
21,0,0.350357927,0.611150656,28.03113296,1.078938299,0.059964382,0.013042253,402.7148073,75.29773153,0.111028402,0.783208928,-18.29264704,26.27127953,4.389705882,11.93382353,11.65769328,3313103.676,3273919.911,3239010.832,3208328.757,3181840.57,73.06407606,76.60063699,1.620613235,754.4852941,14.00681056,3.776127926,0.092853346,0.058251949,23.86917356,,2006,PR-South
22,0,0.544150566,0.943666442,28.16436257,1.102267701,0.058961492,0.012346727,467.1454627,102.6457052,0.092618575,0.546587546,-184.5234441,11.73517799,2.813265306,6.435969388,9.011600349,1663081.974,1633848.442,1606851.353,1582081.826,1559561.497,53.33942178,18.14724976,2.249898834,29.60714286,20.78121476,2.63622956,0.102978794,0.048815671,14.77727787,,2006,PR-West
23,0,0.887793796,1.439060969,27.93156014,1.10251149,0.040724181,0.007152398,324.5327116,56.01094088,0.418069935,2.169461153,-21.54229081,35.34788219,4.037444934,11.08370044,8.108690707,242257.0055,246248.5466,251194.7665,257148.1556,264171.931,41.50875737,13.05411891,2.366227797,11.58590308,151.566079,0.460204256,0.023584139,0.029584374,11.42139805,,2006,USVI-St. Croix
24,0,1.109567963,1.846426873,27.81392322,1.14723989,0.036337771,0.008574581,307.7805406,52.66279022,0.483640479,2.132470587,-28.90977595,5.974863053,4.376782077,12.40325866,12.6106324,372303.2531,373518.0041,376147.3117,380208.717,385735.9091,86.56346104,18.0013889,1.344124684,39.14460285,89.83324826,1.034446974,0.039970057,0.018023497,10.30133513,,2006,USVI-St. Thomas
