label,mean.hurr_sum,sd.hurr_sum,min.hurr_sum,max.hurr_sum,mean.dhw_mean,sd.dhw_mean,min.dhw_mean,max.dhw_mean,mean.dhw_sd,sd.dhw_sd,min.dhw_sd,max.dhw_sd,mean.sst_mean,sd.sst_mean,min.sst_mean,max.sst_mean,mean.sst_sd,sd.sst_sd,min.sst_sd,max.sst_sd,mean.k490_mean,sd.k490_mean,min.k490_mean,max.k490_mean,mean.k490_sd,sd.k490_sd,min.k490_sd,max.k490_sd,mean.prod_mean,sd.prod_mean,min.prod_mean,max.prod_mean,mean.prod_sd,sd.prod_sd,min.prod_sd,max.prod_sd,mean.rain_mean,sd.rain_mean,min.rain_mean,max.rain_mean,mean.rain_sd,sd.rain_sd,min.rain_sd,max.rain_sd,mean.6_depth,sd.6_depth,min.6_depth,max.6_depth,mean.9_reef,sd.9_reef,min.9_reef,max.9_reef,mean.11_het_hab,sd.11_het_hab,min.11_het_hab,max.11_het_hab,mean.11_het_typ,sd.11_het_typ,min.11_het_typ,max.11_het_typ,mean.12_nursery,sd.12_nursery,min.12_nursery,max.12_nursery,mean.14_pop2000,sd.14_pop2000,min.14_pop2000,max.14_pop2000,mean.14_pop2005,sd.14_pop2005,min.14_pop2005,max.14_pop2005,mean.14_pop2010,sd.14_pop2010,min.14_pop2010,max.14_pop2010,mean.14_pop2015,sd.14_pop2015,min.14_pop2015,max.14_pop2015,mean.14_pop2020,sd.14_pop2020,min.14_pop2020,max.14_pop2020,mean.15_margin,sd.15_margin,min.15_margin,max.15_margin,mean.8_fsas,sd.8_fsas,min.8_fsas,max.8_fsas,mean.16_slope,sd.16_slope,min.16_slope,max.16_slope,mean.23_watpol,sd.23_watpol,min.23_watpol,max.23_watpol,mean.18_river,sd.18_river,min.18_river,max.18_river,mean.22_inorpol,sd.22_inorpol,min.22_inorpol,max.22_inorpol,mean.13_conlob,sd.13_conlob,min.13_conlob,max.13_conlob,mean.13_conyel,sd.13_conyel,min.13_conyel,max.13_conyel,mean.7_mpa,sd.7_mpa,min.7_mpa,max.7_mpa, ,ISLAND,FISHING_ZONE,YEAR
2003-PR-EAST,0,0,0,0,0.216483307,0.045632873,0.066739726,0.332164384,0.360705684,0.074252341,0.116068539,0.550009965,27.80735169,0.017961484,27.74254795,27.84824658,0.864235564,0.012353402,0.843367587,0.888101858,0.064369593,0.023297463,0.030019839,0.103033334,0.017574663,0.008652273,0.004924147,0.052149514,459.8872646,47.89396998,342.7030831,516.5790852,74.75625661,19.61252298,53.37143661,132.5147215,0.176948852,0.034971423,0.129219176,0.263041094,1.042730005,0.314156433,0.611746055,1.779291164,-22.06257033,12.07833184,-121.900002,6,7.44165805,7.329352993,0,42.734369,3.409005629,0.928259286,1,5,9.281425891,3.663751154,1,15,11.20371271,14.37753825,0,85.1394,3046896.643,529686.7955,926189.4067,3712619.747,3022094.604,524094.9685,933203.7454,3672871.157,3001988.905,519004.2811,942685.0146,3638562.816,2986601.046,514402.2566,954693.2842,3609669.947,2975978.251,510275.7076,969311.9071,3586192.465,78.51565894,10.57483827,55.836939,100.009368,47.89044428,18.50072018,1.551123,87.080723,0.682306135,2.278487545,0,52.98969,141.2007505,251.380532,10,1000,20.05375453,14.83413426,0.521727,60.879446,1.278812324,1.270374551,0.001106,6.47953,0.110025602,0.073565953,7.66E-04,0.390989,0.012945371,0.013273462,0,0.049053,17.2184,9.365001272,0,48.537484, ,PR,EAST,2003
2003-ST. CROIX-EAST,0,0,0,0,0.206776766,0.035587212,0.147178082,0.313287671,0.354230133,0.059282691,0.257969637,0.536610892,27.77522459,0.004843391,27.76572603,27.78347945,0.872994172,0.00445108,0.868624739,0.883498085,0.037227218,0.003831549,0.02930302,0.0463,0.011865327,0.003289883,0.004876166,0.016183051,359.1862993,22.73977118,302.9346677,392.8167525,114.3460842,9.064045357,100.4820911,122.2828627,0.217225527,0.018420555,0.191863009,0.267698629,1.319192081,0.207543024,1.064030415,1.585942414,-25.81809218,17.37037344,-101,4,38.58795754,16.16814407,17.881211,73.313972,3.809210526,1.11535075,2,5,10.29605263,3.196199921,4,16,5.128489743,6.593672246,0,25.394113,240510.7353,3236.078773,238180.7543,254524.7304,244613.557,3244.404617,242166.2314,258720.8461,249688.7376,3253.340037,247107.1779,263891.186,255790.3868,3262.8958,253056.2501,270089.8749,262983.6404,3273.086174,260076.8445,277382.0657,41.73614119,3.112288285,32.387467,45.56673,11.27131732,8.666855981,0,30.257032,2.532495197,6.588005381,0,52.25537,10.88815789,8.911037649,10,100,154.4558912,6.387319097,141.895276,164.4115,0.136149227,0.194808096,0,1.270942,0.013786819,0.018282024,1.61E-04,0.075269,0.030483237,0.002034237,0.02661,0.032386,7.351305319,5.683682622,0,20.514258, ,ST. CROIX,EAST,2003
2003-ST. THOMAS-EAST,0,0,0,0,0.216214254,0.02684831,0.157890411,0.322794521,0.374907811,0.044920692,0.271651824,0.543668223,27.71698087,0.01899103,27.68158904,27.74334247,0.877365831,0.004479948,0.868682092,0.886905598,0.033335832,0.002272783,0.029681333,0.054399999,0.00858153,0.001989812,0.003451086,0.011679872,304.2172044,19.06647443,279.0837509,425.9028324,96.74075003,3.250788269,68.68006834,100.6516483,0.205163679,0.060907427,0.15226027,0.310767117,0.961146304,0.432039388,0.635745221,1.728207737,-32.83322686,18.76354163,-97.900002,7,5.206341268,3.759531828,0,11.276875,4.028753994,1.62585403,1,5,11.0543131,6.083836477,1,18,5.945765834,6.878389978,0,27.966946,309707.3171,42523.6873,257445.5023,379470.4653,310976.0776,40402.96669,261711.4048,379648.1108,313531.1654,38532.20576,266956.0765,381379.2156,317395.5951,36888.4435,273234.0291,384669.0141,322607.4108,35451.74969,280610.8366,389540.6229,89.07004128,3.312792991,78.386342,94.446875,16.69900268,5.076814062,8.312405,33.408199,0.93922885,1.505317055,0,16.10205,54.28115016,166.5319641,10,1000,96.84272742,7.278325736,86.557419,112.012524,0.738400013,0.635408701,0.086934,2.385056,0.042561962,0.071066861,0.001014,0.177903,0.015679441,0.014254329,0,0.033239,10.39347069,5.46133764,1.317997,21.915742, ,ST. THOMAS,EAST,2003
2004-PR-EAST,0,0,0,0,0.047800849,0.057652617,0,0.181393443,0.094966695,0.1006964,0,0.331474591,27.54820357,0.054276491,27.42002732,27.65273224,1.082317484,0.023654792,1.031535912,1.11507348,0.062388899,0.01937083,0.03173585,0.144800002,0.013462469,0.008965658,0.004006663,0.097978197,457.402491,57.55679611,300.9857456,545.8017479,81.4804744,23.43853607,36.90730011,172.8162359,0.23952754,0.046436846,0.150081963,0.443306007,1.278557406,0.257938666,0.694945371,2.223510976,-21.56740475,11.96593497,-121.900002,6,7.845631855,7.32782553,0,42.734369,3.441984057,0.912117964,1,5,9.474756422,3.652640471,1,15,11.95319317,14.49226551,0,85.1394,3060534.798,517800.1879,926189.4067,3712619.747,3035666.86,512371.8169,933203.7454,3672871.157,3015502.685,507430.8902,942685.0146,3638562.816,3000063.433,502965.1495,954693.2842,3609669.947,2989395.903,498961.6114,969311.9071,3586192.465,78.11838387,10.5278323,55.836939,100.009368,48.61733124,18.33694164,1.551123,87.080723,0.675966705,2.228058389,0,52.98969,138.9016829,244.4429151,10,1000,19.47540311,14.64674877,0.521727,60.879446,1.320447318,1.256608812,0.001106,6.47953,0.108149747,0.073282995,7.66E-04,0.390989,0.012760245,0.013162309,0,0.049053,17.64032848,9.356509255,0,48.537484, ,PR,EAST,2004
2004-ST. CROIX-EAST,0,0,0,0,0.126796735,0.036524989,0.067322404,0.210382514,0.229299709,0.066597574,0.123713062,0.382984482,27.68334598,0.014272734,27.65387978,27.70931694,0.988242117,0.006611776,0.975865843,1.006242013,0.037932356,0.00419417,0.031368923,0.0481,0.01005555,0.002682385,0.005493042,0.018818327,356.7024635,19.19126454,314.7020857,376.7617471,66.95288467,6.233247024,58.55966086,77.05356982,0.280730625,0.015580458,0.258497255,0.306680322,1.782931301,0.143028644,1.616473647,1.946744708,-25.57119748,17.34355253,-101,4,38.4008736,16.10441479,17.881211,73.313972,3.828478964,1.116449301,2,5,10.35598706,3.204522689,4,16,5.290393625,6.671489554,0,25.394113,240490.0119,3213.786733,238180.7543,254524.7304,244592.7393,3222.072703,242166.2314,258720.8461,249667.8069,3230.97049,247107.1779,263891.186,255769.324,3240.491046,253056.2501,270089.8749,262962.4259,3250.64899,260076.8445,277382.0657,41.64272106,3.172092543,32.387467,45.56673,11.56363697,8.894495058,0,30.387891,2.516375405,6.536428767,0,52.25537,10.87378641,8.839124521,10,100,154.5850533,6.417688476,141.895276,164.4115,0.148682317,0.220486195,0,1.279365,0.013809346,0.018133877,1.61E-04,0.075269,0.030424243,0.002069732,0.02661,0.032386,7.506011641,5.768302775,0,20.514258, ,ST. CROIX,EAST,2004
2004-ST. THOMAS-EAST,0,0,0,0,0.160112213,0.020360505,0.10773224,0.191229508,0.270059573,0.030801379,0.183765915,0.316969609,27.54438944,0.029051254,27.475,27.5945082,1.071176645,0.010175705,1.054838898,1.102814519,0.035506657,0.002846367,0.0307,0.05713325,0.007830391,0.001313164,0.003296204,0.011083926,305.9615542,14.01733408,288.9438318,430.7104984,43.40863753,2.14545383,39.88388337,56.14788338,0.48532336,0.09380939,0.344344259,0.610860646,2.358781655,0.468438593,1.56641004,2.849764529,-32.12529413,18.34252457,-97.900002,7,5.325893409,3.684521644,0,12.371454,4.105882353,1.581780703,1,5,11.35,5.924637325,1,18,6.131216694,6.643271116,0,27.966946,309847.129,41148.93871,257445.5023,379470.4653,311061.2271,39081.50169,261711.4048,379648.1108,313562.9045,37257.26392,266956.0765,381379.2156,317374.9206,35654.00495,273234.0291,384669.0141,322535.08,34252.44806,280610.8366,389540.6229,88.81689039,3.30607964,78.386342,94.446875,16.68944129,4.896172534,8.312405,33.408199,0.935546647,1.489567677,0,16.10205,50.76470588,160.2118912,10,1000,96.78564086,6.997624594,86.557419,112.012524,0.747315621,0.613485706,0.086934,2.385056,0.039410347,0.069021648,0.001014,0.177903,0.014434309,0.014318819,0,0.033239,10.05363117,5.382304418,1.317997,21.915742, ,ST. THOMAS,EAST,2004
2005-PR-EAST,0,0,0,0,2.356166534,0.237416085,1.899452055,2.855315068,3.62700568,0.320248396,3.049940231,4.281267493,28.00684737,0.052996848,27.88013699,28.10747945,1.453178282,0.020412015,1.410233089,1.496210365,0.054707662,0.015444034,0.0277675,0.0964,0.013443662,0.00380007,0.001979901,0.031983152,441.1074886,59.91807031,290.7759162,512.5198328,103.7233631,24.43489837,37.31682778,125.6332383,0.229565225,0.037378,0.168479449,0.330972593,1.173726267,0.266193647,0.72089445,1.959627415,-23.50095437,12.09780687,-121.900002,6,8.142698179,7.534730154,0,42.734369,3.331919406,0.960531758,1,5,8.758218452,3.555276842,1,15,10.57569,15.45291193,0,85.1394,3005089.603,549644.7721,926189.4067,3712619.747,2980486.394,543687.8672,933203.7454,3672871.157,2960563.489,538265.3707,942685.0146,3638562.816,2945343.779,533364.8215,954693.2842,3609669.947,2934876.179,528973.1681,969311.9071,3586192.465,79.26083017,11.12290161,55.836939,100.009368,45.93102342,18.92480696,1.551123,87.080723,0.728764761,2.414201313,0,52.98969,145.6203606,265.3696138,10,1000,22.2747298,14.42295993,1.519118,60.879446,1.063874055,1.211603121,0.001106,6.47953,0.106378158,0.078174914,7.66E-04,0.390989,0.014496972,0.013450882,0,0.049053,16.10491757,9.48660257,0,48.537484, ,PR,EAST,2005
2005-ST. CROIX-EAST,0,0,0,0,2.764670149,0.14619876,2.531671233,2.941726027,4.165861929,0.178841594,3.86833208,4.385144632,28.12776991,0.007472365,28.11172603,28.14109589,1.411856978,0.002427495,1.399979505,1.415349374,0.037153157,0.011409225,0.027397889,0.064500002,0.00684452,0.00110414,0.004884489,0.009417473,287.6286742,13.96352193,250.1434998,308.0995,34.75282923,4.787374324,29.9536277,42.62290067,0.19729823,0.015653963,0.153287666,0.24483561,1.116700155,0.170088225,0.785282445,1.755173454,-23.9872882,16.82398918,-101,11,38.97540228,15.1818844,17.881211,73.313972,3.97740113,1.113679059,2,5,10.82485876,3.238027082,4,16,6.557164915,7.115845475,0,25.394113,240573.0867,3027.050469,238180.7543,254524.7304,244672.62,3033.667144,242166.2314,258720.8461,249744.547,3040.891181,247107.1779,263891.186,255842.9778,3048.731677,253056.2501,270089.8749,263033.049,3057.200949,260076.8445,277382.0657,41.67698352,2.901019122,32.387467,45.56673,12.44322538,8.547719944,0,30.257032,2.248133644,6.159499983,0,52.25537,10.76271186,8.261667481,10,100,153.5390325,6.349484085,141.895276,164.4115,0.157320737,0.188774112,0,1.270942,0.014680941,0.017396993,1.61E-04,0.075269,0.030165678,0.002154724,0.02661,0.032386,6.32262176,5.847107269,0,20.514258, ,ST. CROIX,EAST,2005
2005-ST. THOMAS-EAST,0,0,0,0,2.812438124,0.046142765,2.761506849,2.957479452,4.18402811,0.068417745,4.108894825,4.395085067,28.00356653,0.028436214,27.93767123,28.05189041,1.458817085,0.013602775,1.436978473,1.491803725,0.033438178,0.005207637,0.02715,0.046733333,0.008815144,0.002562931,0.005868987,0.018667619,273.5800508,14.02928834,253.4450028,371.9330829,41.07323582,4.005039549,36.85377989,82.91478858,0.331624729,0.031434039,0.292561638,0.372013681,1.814263159,0.373445869,1.320834832,2.173359024,-32.12529413,18.34252457,-97.900002,7,5.325893409,3.684521644,0,12.371454,4.105882353,1.581780703,1,5,11.35,5.924637325,1,18,6.131216694,6.643271116,0,27.966946,309847.129,41148.93871,257445.5023,379470.4653,311061.2271,39081.50169,261711.4048,379648.1108,313562.9045,37257.26392,266956.0765,381379.2156,317374.9206,35654.00495,273234.0291,384669.0141,322535.08,34252.44806,280610.8366,389540.6229,88.81689039,3.30607964,78.386342,94.446875,16.68944129,4.896172534,8.312405,33.408199,0.935546647,1.489567677,0,16.10205,50.76470588,160.2118912,10,1000,96.78564086,6.997624594,86.557419,112.012524,0.747315621,0.613485706,0.086934,2.385056,0.039410347,0.069021648,0.001014,0.177903,0.014434309,0.014318819,0,0.033239,10.05363117,5.382304418,1.317997,21.915742, ,ST. THOMAS,EAST,2005
2006-PR-EAST,0,0,0,0,0.991886182,0.096214296,0.661013699,1.233315068,1.669364177,0.154111032,1.112830671,2.0352666,27.84074954,0.043065917,27.74276712,27.92572603,1.169495059,0.023787265,1.115998885,1.20227906,0.057745643,0.017108736,0.030465304,0.09129719,0.01029841,0.003130386,0.005481006,0.025815098,426.6489472,52.92021304,295.4913297,502.5249184,57.60742212,17.00939172,42.07597191,98.19575204,0.347654565,0.076464611,0.192958898,0.4828904,1.673958476,0.372830515,1.067610634,2.542360499,-22.02525722,12.08743265,-121.900002,6,7.448279413,7.320250583,0,42.734369,3.410664172,0.927482209,1,5,9.291861553,3.663891424,1,15,11.2156287,14.35917714,0,85.1394,3046924.871,528943.3227,926189.4067,3712619.747,3022102.85,523359.1318,933203.7454,3672871.157,3001977.319,518275.6429,942685.0146,3638562.816,2986569.748,513680.3989,954693.2842,3609669.947,2975927.328,509560.2332,969311.9071,3586192.465,78.56815514,10.60629665,55.836939,100.009368,47.83727161,18.50219183,1.551123,87.080723,0.68491899,2.276517056,0,52.98969,140.9167446,251.0944239,10,1000,20.10297997,14.84247329,0.521727,60.879446,1.276948799,1.26907658,0.001106,6.47953,0.11063122,0.074505369,7.66E-04,0.390989,0.013017468,0.013324363,0,0.049053,17.17701661,9.384955305,0,48.537484, ,PR,EAST,2006
