"Bartholomea annulata","Lebrunia neglecta","Phymanthus crucifer","Ricordea florida","Anemone spp.","Eudistoma spp.","Trididemnum solidum","Ascidian spp.","Thalassia testudinum","Amphiroa spp.","Asparagopsis taxiformis","Asparagopsis taxiformis on Ramicrusta","Caulerpa racemosa","Caulerpa spp.","Caulerpa spp. on Ramicrusta","Dichotomaria marginata","Dictyota spp.","Dictyota spp. on Ramicrusta","Galaxaura spp.","Galaxaura spp. on Ramicrusta","Gracilaria spp.","Halimeda discoidea","Halimeda spp.","Halimeda spp. on Ramicrusta","Halimeda tuna","Jania spp.","Lobophora spp.","Lobophora variegata","Lobophora variegatus on Ramicrusta","Martensia pavonia","Padina spp.","Sargassum hystrix","Sargassum natans","Stypopodium spp.","Stypopodium zonale","Udotea spp.","Valonia ventricosa","Wrangelia bicuspidata","Macroalgae spp.","Ramicrusta spp.","Peyssonnelia spp.","Turf (mixed) on Ramicrusta","Turf (mixed) with sediment","Turf (mixed)","Antillogorgia acerosa","Antillogorgia americana","Antillogorgia bipinnata","Antillogorgia rigida","Eunicea calyculata","Eunicea flexuosa","Eunicea mammosa","Eunicea pallida","Eunicea spp.","Eunicea succinea","Eunicea tourneforti","Gorgonia mariae","Gorgonia ventalina","Muricea atlantica","Muricea elongata","Muricea muricata","Muricea pinnata","Muriceopsis flavida","Plexaura homomalla","Plexaura kukenthali","Plexaura spp.","Plexaurella nutans","Plexaurella spp.","Pseudoplexaura flagellosa","Pseudoplexaura spp.","Pseudoplexaura wagenaari","Pterogorgia guadalupensis","Pterogorgia spp.","Octocoral spp.","Briareum asbestinum","Erythropodium caribaeorum","Octocoral spp.(encrusting)","Agelas citrina","Agelas clathrodes","Agelas conifera","Agelas dispar","Agelas sceptrum","Agelas spp.","Agelas sventres","Agelas tubulata","Aiolochroia crassa","Amphimedon compressa","Amphimedon viridis","Aplysina archeri","Aplysina cauliformis","Aplysina fistularis","Aplysina fulva","Aplysina lacunosa","Aplysina spp.","Biemna caribea","Biemna spp.","Callyspongia armigera","Callyspongia fallax","Callyspongia plicifera","Callyspongia spp.","Callyspongia tenerrima","Callyspongia vaginalis","Chondrilla caribensis","Chondrosia collectrix","Cinachyrella apion","Cinachyrella kuekenthali","Clathria spp.","Clathria venosa","Cliona aprica","Cliona caribbaea","Cliona delitrix","Cliona laticavicola","Cliona spp.","Cliona tenuis","Cliona varians","Cribrochalina vasculum","Desmapsamma spp.","Desmapsamma anchorata","Dictyonella funicularis","Dictyonella spp.","Diplastrella spp.","Dragmacidon reticulatum","Dysidea etheria","Dysidea janiae","Ectyoplasia ferox","Geodia neptuni","Haliclona spp.","Halisarca caerulea","Halisarca spp.","Iotrochota arenosa","Iotrochota birotulata","Ircinia campana","Ircinia felix","Ircinia spp.","Ircinia strobilina","Monanchora arbuscula","Mycale laevis","Mycale laxissima","Neofibularia nolitangere","Neopetrosia carbonaria","Neopetrosia proxima","Neopetrosia rosariensis","Neopetrosia spp.","Niphates alba","Amphimedon caribica","Niphates caycedoi","Niphates digitalis","Niphates erecta","Niphates spp.","Petrosia pellasarca","Petrosia spp.","Petrosia weinbergi","Phorbas amaranthus","Timea micraster","Plakortis angulospiculatus","Plakortis halichondrioides","Plakortis spp.","Prosuberites laughlini","Ptilocaulis walpersii","Scopalina ruetzleri","Smenospongia aurea","Smenospongia conulosa","Spheciospongia vesparium","Spirastrella coccinea","Spirastrella hartmani","Suberea spp.","Svenzea zeai","Tedania klausi","Topsentia ophiraphidites","Topsentia spp.","Verongula reiswigi","Verongula rigida","Verongula spp.","Xestospongia muta","Sponge spp.","Acropora cervicornis","Acropora palmata","Acropora prolifera","Agaricia agaricites","Agaricia fragilis","Agaricia grahamae","Agaricia humilis","Agaricia lamarcki","Agaricia spp.","Colpophyllia natans","Dendrogyra cylindrus","Dichocoenia stokesii","Diploria labyrinthiformis","Eusmilia fastigiata","Helioseris cucullata","Isophyllia rigida","Isophyllia sinuosa","Madracis auretenra","Madracis carmabi","Madracis decactis","Madracis formosa","Madracis pharensis","Madracis senaria","Madracis spp.","Manicina areolata","Meandrina jacksoni","Meandrina meandrites","Montastraea cavernosa","Mussa angulosa","Mycetophyllia aliciae","Mycetophyllia danaana","Mycetophyllia ferox","Mycetophyllia lamarckiana","Mycetophyllia spp.","Oculina diffusa","Orbicella annularis","Orbicella annularis (complex)","Orbicella faveolata","Orbicella franksi","Porites astreoides","Porites colonensis","Porites divaricata","Porites furcata","Porites porites","Pseudodiploria clivosa","Pseudodiploria strigosa","Scolymia cubensis","Scolymia spp.","Siderastrea radians","Siderastrea siderea","Solenastrea bournoni","Stephanocoenia intersepta","Stony Coral spp.","Millepora alcicornis","Millepora complanata","Millepora spp.","Millepora squarrosa","Stylaster roseus","Condominium spp.","Palythoa grandis","Palythoa caribaeorum","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0.6707784709055377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.955638497974039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8727220534535345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9486240109024979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5809111961158766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3828452434669174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2989569234058118,0,0,0,0,0,0,0,0,0,0,0,0,2.2747204676287742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3828452434669174,0,0,0,0,0,0,0,0,0,3.1817816601997304,0,0,0.8215324920814495,0,0,0,0,0,0,0,0,0,1.4229360163537468,0,0,0,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","1","2016Cayo Rodriguez1","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9041938447734996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43685202833051895,0,0,5.332458579662554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.025599524860357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690723704994422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5350322812548163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690723704994422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1504975223073661,0,0,0,0.9768308314557044,0,0,0,0,0,2.29087136327063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8812370116943264,0,0,0,0,0,0,1.6345506187300654,0,0,0,0,0,0,0,0.8737040566610379,0,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","2","2016Cayo Rodriguez2","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9922673005127582,0,0,0,0,0,1.8186829017846022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.694554840967833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6602227504272986,1.4473486385759486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4695819060429296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575118031124365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4763845091144767,0,0,0,1.101267186315841,0,0,0,0,0,2.324311850598218,0,0,0,0,1.0500170629159098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15023606224873,0,0,0,0,0,0,0,0,0.575118031124365,3.0612994913147107,0,0,0,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","3","2016Cayo Rodriguez3","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6381256527517714,0,0,0,0,0,1.913897505877382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.522183444978987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6052275326688024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4279604925109129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3568866256344063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4279604925109129,0,0,0,0,0,0,0,0,3.6313651960128146,0,0,1.4824986333222023,0,0,0,0,0,0,0,0,0.6766649524509585,3.23103086329432,0,0,1.0482848367219164,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","4","2016Cayo Rodriguez4","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.234972671052735,0,0,0,0,0,1.4679067561865033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0841209874257953,0,0,0,0,6.660950863464226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5420604937128977,0.5420604937128977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2120841118591366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5647938598110145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.716179517418488,0,0,0.7665893018354357,0,0,0,1.3995941765246818,0,0,0,0,0,2.0282046503791933,0,0,0.06188359107446585,0,0,0,0.5420604937128977,0,0,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","5","2016Cayo Rodriguez5","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1309545803452896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.051767463916216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03936815877045007,0,0.9425763354100424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702554919986499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.962032132333818,0,0,0,0,0,0,0.5441967009807589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","1","2016Guanajibo1","2016_Guanajibo","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8259910463055868,0,0,0,0,0,0.9872481295984874,0,0,0,0,3.573238193723422,0,0,0,0,0,0,0,0,0,0,0,0,0.698089847152826,0,0,4.070528317028036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7099639201419237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5294382258037451,0,0,0,0,0,0,0,0,0,0,1.035434573662326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407380704358752,0,0,0,0,0,1.9990251035248199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5294382258037451,0,0,0,0,0,0,0,0,5.964482268641888,0,0,1.035434573662326,0,0,0,0,0,0,0,0,0,0,0,0.5407380704358752,0,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","2","2016Guanajibo2","2016_Guanajibo","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9320996355910582,0,0,0,0,0,0,0,0,0,0,2.4484254413022235,0,0,0,0,0,0,0,0,0,0,0,0,0.6590939730679471,0,2.6528020692126217,2.6853530055753496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0632904982764835,1.7187068057916521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4168476293968777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895115709361382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4168476293968777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.350740698433591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1028751619909558,1.7685347128084146,0,0,0,0,0,0,0,0,5.738282738969428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","3","2016Guanajibo3","2016_Guanajibo","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.996530786633589,0,0,0,0,0,0.6582367076198594,0,0,0,0,4.316346744656179,0,0,0,0,0,0,0,0,0,0,0,0,1.3164734152397188,0,0,3.860657894204457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41630544712181333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8831172141141956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2137285178646788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4117604580763228,0,0,0,1.3164734152397188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.356313770920384,0,0,1.1774896188189274,0,0,0,0,0,0,0,0,0,1.6910407202383781,0,0,0,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","4","2016Guanajibo4","2016_Guanajibo","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630190913746041,0,0,0,0,0,2.717869557665728,0,0,0,0,3.9856772963604064,0,0,0,0,0,0,0,0,0,0,0,0,1.409149721938854,0,0,3.8539665258699145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8905727412381228,0.39856772963604065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8912245371039444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7971354592720813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8454898331633125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5636598887755416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.749482643954642,0,0,0.5636598887755416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","5","2016Guanajibo5","2016_Guanajibo","2016_Mayaguez","2016_West"
