"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,3.673004104955646,0.4824261492442928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9947317732204075,0,0,0,0,2.698673039289613,0,0,4.6659830253846035,0,0,0,0.8241754429663495,0,0,,"2016","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","1","2016Cayo Diablo (2016)1","2016_Cayo Diablo (2016)","2016_Fajardo","2016_North/Northeast"
3.7360015611826713,0,4.961164898621959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125882958019036,0,0,0,0,0,0,4.908602568531104,0,0,,"2016","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","2","2016Cayo Diablo (2016)2","2016_Cayo Diablo (2016)","2016_Fajardo","2016_North/Northeast"
0,0.41871033485818504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2092294478163956,0,0,3.657646751682838,5.9818434120639274,0,0,6.6769071232823745,0,0,,"2016","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","3","2016Cayo Diablo (2016)3","2016_Cayo Diablo (2016)","2016_Fajardo","2016_North/Northeast"
0,0,4.5958266709849385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0,1.0715836162801904,0,0,,"2016","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","4","2016Cayo Diablo (2016)4","2016_Cayo Diablo (2016)","2016_Fajardo","2016_North/Northeast"
0,0.41871033485818504,2.458733775483977,0,0,0,0,0,7.511486375378529,0,0,0,0,0,0,3.497718948652777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.937301774518713,0,0,0,0,0,0,3.874943997186725,0,0,,"2016","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","5","2016Cayo Diablo (2016)5","2016_Cayo Diablo (2016)","2016_Fajardo","2016_North/Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.507956918233689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8415671856782188,3.314913013065143,0,0,5.918571221587658,0,0.6931471805599453,0,0.8241754429663495,0,0,,"2016","North/Northeast","Fajardo","Palominitos (2016)","Shallow","1","2016Palominitos (2016)1","2016_Palominitos (2016)","2016_Fajardo","2016_North/Northeast"
0,0,4.729686060685659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.388762789235098,0,0,0,0,0,0,4.55765920331704,0,0,,"2016","North/Northeast","Fajardo","Palominitos (2016)","Shallow","2","2016Palominitos (2016)2","2016_Palominitos (2016)","2016_Fajardo","2016_North/Northeast"
3.7360015611826713,0,2.510411940196362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.841585279495541,0,0,0,0,3.486763269991802,0,0,5.4681445257603025,0,0.6931471805599453,0,0.8241754429663495,0,0,,"2016","North/Northeast","Fajardo","Palominitos (2016)","Shallow","3","2016Palominitos (2016)3","2016_Palominitos (2016)","2016_Fajardo","2016_North/Northeast"
3.7360015611826713,0,4.014218517742815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.698673039289613,0,0,4.970091038780675,0,0.6931471805599453,0,2.5160822672564502,0,0,,"2016","North/Northeast","Fajardo","Palominitos (2016)","Shallow","4","2016Palominitos (2016)4","2016_Palominitos (2016)","2016_Fajardo","2016_North/Northeast"
0,0,0.8064758658669485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9947317732204075,0,0,0,3.9431340004531985,2.8237570088141806,0,0,0,0,0,0,6.897927140663157,0,0,,"2016","North/Northeast","Fajardo","Palominitos (2016)","Shallow","5","2016Palominitos (2016)5","2016_Palominitos (2016)","2016_Fajardo","2016_North/Northeast"
4.417152436649256,0,3.108167702883779,0,0,0,0,0,0,0,0,0,0,0,0,5.876222031595705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.365559892155434,0,0,0,3.26918863874179,5.988460038087683,0,0,3.657646751682838,0,0,0,0.4946962418361071,0,0,,"2016","North/Northeast","Fajardo","Palominos (2016)","Intermediate","1","2016Palominos (2016)1","2016_Palominos (2016)","2016_Fajardo","2016_North/Northeast"
0,4.610754564281992,6.0536878902881135,0,0,0,0,0,0,0,0,0,0,0,0,4.490432508517668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.404657402319363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5556757206762075,0,0,3.657646751682838,0,0,0,5.534771931921918,0,0,,"2016","North/Northeast","Fajardo","Palominos (2016)","Intermediate","2","2016Palominos (2016)2","2016_Palominos (2016)","2016_Fajardo","2016_North/Northeast"
2.412335956953165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089391872533004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.992788670070113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.305145590337924,2.188295946591918,0,0,5.354414105899907,0,0,0,6.211021674886772,0,0,,"2016","North/Northeast","Fajardo","Palominos (2016)","Intermediate","3","2016Palominos (2016)3","2016_Palominos (2016)","2016_Fajardo","2016_North/Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.337813479997556,0,0,0,6.798498293045188,0,0,,"2016","North/Northeast","Fajardo","Palominos (2016)","Intermediate","4","2016Palominos (2016)4","2016_Palominos (2016)","2016_Fajardo","2016_North/Northeast"
4.655292795391302,0,0.4824261492442928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.866383067486102,0,0,0,6.017034823219512,3.0349529867072724,0,0,5.3923540084744195,0,0.6931471805599453,0,1.0715836162801904,0,0,,"2016","North/Northeast","Fajardo","Palominos (2016)","Intermediate","5","2016Palominos (2016)5","2016_Palominos (2016)","2016_Fajardo","2016_North/Northeast"
4.014218517742815,0.41871033485818504,2.458733775483977,0,0,0,0,0,0,0,0,0,0,0,0,0,6.319760592445018,0,0,0,0,0,0,6.617322760853427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4054651081081644,0,0.4946962418361071,0,0,,"2018","North/Northeast","Fajardo","Cabezas de San Juan","Very Shallow","1","2018Cabezas de San Juan1","2018_Cabezas de San Juan","2018_Fajardo","2018_North/Northeast"
2.6063865473257097,0,2.458733775483977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0301337002713233,0,0,0,0,,"2018","North/Northeast","Fajardo","Cabezas de San Juan","Very Shallow","2","2018Cabezas de San Juan2","2018_Cabezas de San Juan","2018_Fajardo","2018_North/Northeast"
4.200055016644215,0,3.79974976294536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4054651081081644,0,0,0,0,,"2018","North/Northeast","Fajardo","Cabezas de San Juan","Very Shallow","3","2018Cabezas de San Juan3","2018_Cabezas de San Juan","2018_Fajardo","2018_North/Northeast"
2.510411940196362,0,2.510411940196362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44943600950432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0,0.4946962418361071,0,0,,"2018","North/Northeast","Fajardo","Cabezas de San Juan","Very Shallow","4","2018Cabezas de San Juan4","2018_Cabezas de San Juan","2018_Fajardo","2018_North/Northeast"
3.5882300459640066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2018","North/Northeast","Fajardo","Cabezas de San Juan","Very Shallow","5","2018Cabezas de San Juan5","2018_Cabezas de San Juan","2018_Fajardo","2018_North/Northeast"
3.79974976294536,0.9400072584914712,4.190714786041794,0,0,0,0,0,0,0,0,0,0,0,0,5.246813523680921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.217027204632399,0,0,0,0,0,0,,"2018","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","1","2018Cayo Diablo (2016)1","2018_Cayo Diablo (2016)","2018_Fajardo","2018_North/Northeast"
3.79974976294536,4.9023817086560015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0920085024245525,0,0,0,0.36464311358790924,3.2402458506043934,0,0,0.5538851132264376,0,0.4054651081081644,0,5.8380510954612355,0,0,,"2018","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","2","2018Cayo Diablo (2016)2","2018_Cayo Diablo (2016)","2018_Fajardo","2018_North/Northeast"
4.014218517742815,2.327277705584417,2.559550192783766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.617322760853427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3843902633457743,0,0,0,0,0,0,1.0715836162801904,0,0,,"2018","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","3","2018Cayo Diablo (2016)3","2018_Cayo Diablo (2016)","2018_Fajardo","2018_North/Northeast"
4.014218517742815,2.327277705584417,4.340683671139499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8415671856782188,0,0,0,6.567234859514355,0,1.0986122886681098,0,0.8241754429663495,0,0,,"2018","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","4","2018Cayo Diablo (2016)4","2018_Cayo Diablo (2016)","2018_Fajardo","2018_North/Northeast"
0,0,3.1354942159291497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.151501137763091,0,0,0,0,0,0,0,0,0,0,6.2484876498558695,0,0,0,0,0,0,0,0,0,1.252762968495368,0,6.588417407126345,0,0,,"2018","North/Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","5","2018Cayo Diablo (2016)5","2018_Cayo Diablo (2016)","2018_Fajardo","2018_North/Northeast"
3.1354942159291497,3.884034968887977,4.481645699702594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.261205383798974,0,0,0,0,4.96535894922662,0,0,3.657646751682838,0,0.4054651081081644,0,0,0,0,,"2018","North/Northeast","Fajardo","Palominitos (2016)","Shallow","1","2018Palominitos (2016)1","2018_Palominitos (2016)","2018_Fajardo","2018_North/Northeast"
4.014218517742815,2.327277705584417,2.458733775483977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.059407992341204,0,0,0,1.5085119938441398,3.741471904233107,0,0,3.849083205654272,0,0,0,2.6602595372658615,0,0,,"2018","North/Northeast","Fajardo","Palominitos (2016)","Shallow","2","2018Palominitos (2016)2","2018_Palominitos (2016)","2018_Fajardo","2018_North/Northeast"
4.014218517742815,3.673004104955646,2.458733775483977,0,0,0,0,0,0,0,0,0,0,0,0,5.856160155077084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5085119938441398,0,0,0,0,0,1.5040773967762742,0,5.547323577387973,0,0,,"2018","North/Northeast","Fajardo","Palominitos (2016)","Shallow","3","2018Palominitos (2016)3","2018_Palominitos (2016)","2018_Fajardo","2018_North/Northeast"
3.79974976294536,0,4.5958266709849385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.404657402319363,0,0,0,0,0,0,0,0,0,0,5.886714955908912,0,0,0,3.6254070311583626,4.96535894922662,0,0,5.587173749227587,0,0,0,0.4946962418361071,0,0,,"2018","North/Northeast","Fajardo","Palominitos (2016)","Shallow","4","2018Palominitos (2016)4","2018_Palominitos (2016)","2018_Fajardo","2018_North/Northeast"
3.79974976294536,0,3.79974976294536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.227859904097939,0,0,0,0,0,0,0,0,0,0,6.9541616517962925,0,0,0,0,0,0,0,3.657646751682838,0,0.6931471805599453,0,1.0715836162801904,0,0,,"2018","North/Northeast","Fajardo","Palominitos (2016)","Shallow","5","2018Palominitos (2016)5","2018_Palominitos (2016)","2018_Fajardo","2018_North/Northeast"
