"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,2.327277705584417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.256541154492639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.334083760053417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.970091038780675,4.619566066271823,0,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 10m (2016)","Shallow","1","2016Maria Langa 10m (2016)1","2016_Maria Langa 10m (2016)","2016_Guayanilla","2016_South"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.983911091453068,0,0,0,4.591375474965902,4.138999202762532,0,0,3.849083205654272,0,0,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 10m (2016)","Shallow","2","2016Maria Langa 10m (2016)2","2016_Maria Langa 10m (2016)","2016_Guayanilla","2016_South"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3339886319687055,0,0,0,3.849083205654272,0,0.4054651081081644,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 10m (2016)","Shallow","3","2016Maria Langa 10m (2016)3","2016_Maria Langa 10m (2016)","2016_Guayanilla","2016_South"
0,2.970414465569701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.535391291380175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.674136390452814,0,0,0,0,0,0,0,0,0,0,4.367420482284519,0,0,0,4.706100904566532,0,0,0,4.6659830253846035,0,2.3841650799864684,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 10m (2016)","Shallow","4","2016Maria Langa 10m (2016)4","2016_Maria Langa 10m (2016)","2016_Guayanilla","2016_South"
0,0,2.458733775483977,0,0,0,0,0,0,0,0,0,0,0,0,0,4.535391291380175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.884463798113738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.882563575448353,0,0,0,0,4.619566066271823,0,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 10m (2016)","Shallow","5","2016Maria Langa 10m (2016)5","2016_Maria Langa 10m (2016)","2016_Guayanilla","2016_South"
0,3.673004104955646,3.79974976294536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.841585279495541,0,0,0,0.6312717768418578,3.741471904233107,0,0,0,0,0,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 20m (2016)","Intermediate","1","2016Maria Langa 20m (2016)1","2016_Maria Langa 20m (2016)","2016_Guayanilla","2016_South"
3.7360015611826713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82346001090882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.841585279495541,0,0,0,0,3.0717669598299886,0,0,0,0,0,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 20m (2016)","Intermediate","2","2016Maria Langa 20m (2016)2","2016_Maria Langa 20m (2016)","2016_Guayanilla","2016_South"
6.736682219958929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089391872533004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.866383067486102,0,5.543104985920118,0,2.2438960966453663,0,0,0,0,0,0,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 20m (2016)","Intermediate","3","2016Maria Langa 20m (2016)3","2016_Maria Langa 20m (2016)","2016_Guayanilla","2016_South"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55597994179732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19735231229633,0,0,5.433023069400328,0,0,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 20m (2016)","Intermediate","4","2016Maria Langa 20m (2016)4","2016_Maria Langa 20m (2016)","2016_Guayanilla","2016_South"
5.343673068268834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0725067145826275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.404657402319363,0,0,0,0,0,0,0,0,0,0,4.77676777941907,0,0,0,5.9181946851802065,0,0,0,0,0,0,0,0,0,0,,"2016","South","Guayanilla","Maria Langa 20m (2016)","Intermediate","5","2016Maria Langa 20m (2016)5","2016_Maria Langa 20m (2016)","2016_Guayanilla","2016_South"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7186603802142257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714755384807131,0,0,0,3.657646751682838,0,0,0,6.104324372517359,0,0,,"2016","South","Guayanilla","Maria Langa 5m","Very Shallow","1","2016Maria Langa 5m1","2016_Maria Langa 5m","2016_Guayanilla","2016_South"
