"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,7.170888478512505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.454209386505011,0,0,0,0,0,0,4.062509838702082,2.7893229212309465,0,0,0,0,0,0,5.2317501222759235,0,0,0,0,0,0,0,0,0,0,6.682121128699613,0,0,0,0,0,8.294299608857235,0,0,0,0,0,0,7.418330871492919,0,,"2004","Mona/Desecheo","Isla Desecheo","Puerto Botes 15m","Intermediate","ASEC Survey","2004Puerto Botes 15mASEC Survey","2004_Puerto Botes 15m","2004_Isla Desecheo","2004_Mona/Desecheo"
0,0,0,0,0,6.311843696146471,0,0,6.620473126551683,0,0,6.0028000567717275,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,5.70304887230245,4.715189831026641,0,0,0,0,0,0,6.683273332416447,0,0,0,7.06862334655692,0,0,0,0,0,0,7.323335720831395,0,0,0,0,0,7.641670052582604,0,0,0,0,0,0,7.418330871492919,0,,"2004","Mona/Desecheo","Isla Desecheo","Puerto Botes 20m","Intermediate","ASEC Survey","2004Puerto Botes 20mASEC Survey","2004_Puerto Botes 20m","2004_Isla Desecheo","2004_Mona/Desecheo"
0,0,0,0,0,0,0,0,7.733998757526658,10.363543429050372,0,7.772078805231039,0,8.446978859964986,0,0,0,0,0,0,0,7.5060916550291585,0,6.7795582049768806,0,9.867912187022208,0,0,0,0,6.272046473069456,5.776258162978251,10.799595985047786,0,0,6.363562443514051,0,0,6.94588886296304,0,0,6.946947145565514,6.796387869116464,0,0,0,0,9.332646496360152,0,6.682121128699613,0,0,0,0,0,9.465060106725137,0,0,0,0,0,0,9.484611924017699,0,,"2004","Mona/Desecheo","Isla Desecheo","Puerto Canoas 30m","Mesophotic","ASEC Survey","2004Puerto Canoas 30mASEC Survey","2004_Puerto Canoas 30m","2004_Isla Desecheo","2004_Mona/Desecheo"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.999239969104315,0,0,6.0875471557850265,0,0,0,7.692177235317669,0,0,6.747821241065812,5.510602174527371,0,0,0,0,0,0,7.125234820031905,0,0,0,6.9988840013932165,0,0,0,0,0,0,0,0,0,0,0,0,6.90875477931522,0,0,0,0,0,0,7.880989512715426,0,,"2005","Mona/Desecheo","Isla Desecheo","Puerto Botes 15m","Intermediate","ASEC Survey","2005Puerto Botes 15mASEC Survey","2005_Puerto Botes 15m","2005_Isla Desecheo","2005_Mona/Desecheo"
0,0,0,0,0,0,0,0,7.928885190642186,0,0,8.366179585822122,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,8.537191877922927,0,0,0,0,6.964249027536601,6.624795372865686,9.635673464721814,0,0,0,0,0,7.9364456933452034,0,0,0,6.9988840013932165,0,0,0,0,0,0,8.524325694533063,0,0,0,0,0,6.285029282717918,0,0,0,0,0,0,8.573947745938211,0,,"2005","Mona/Desecheo","Isla Desecheo","Puerto Botes 20m","Intermediate","ASEC Survey","2005Puerto Botes 20mASEC Survey","2005_Puerto Botes 20m","2005_Isla Desecheo","2005_Mona/Desecheo"
0,0,0,0,0,6.775993747799883,0,0,8.400142387612666,8.675259623241487,0,8.649744854262238,0,0,0,0,0,0,0,0,0,0,0,7.39425952124297,0,9.287394001418473,0,0,0,0,6.272046473069456,5.776258162978251,10.799595985047786,0,0,6.363562443514051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2005","Mona/Desecheo","Isla Desecheo","Puerto Canoas 30m","Mesophotic","ASEC Survey","2005Puerto Canoas 30mASEC Survey","2005_Puerto Canoas 30m","2005_Isla Desecheo","2005_Mona/Desecheo"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.999239969104315,0,0,6.0875471557850265,0,0,0,7.692177235317669,0,0,6.747821241065812,5.1243210585000725,0,0,0,0,0,0,9.75436786269558,0,0,0,6.047230325013839,0,0,0,0,0,0,7.448467806498291,0,0,0,0,0,6.90875477931522,0,0,0,0,0,0,7.880989512715426,0,,"2006","Mona/Desecheo","Isla Desecheo","Puerto Botes 15m","Intermediate","ASEC Survey","2006Puerto Botes 15mASEC Survey","2006_Puerto Botes 15m","2006_Isla Desecheo","2006_Mona/Desecheo"
0,0,0,0,0,6.775993747799883,0,0,5.9286578588151695,0,0,6.0028000567717275,0,0,0,0,0,0,0,0,0,0,0,0,0,8.537191877922927,0,0,0,0,6.747821241065812,6.624795372865686,9.635673464721814,0,0,0,0,0,9.555464359744237,0,0,0,7.52131798019924,0,0,0,0,0,0,7.957408389198705,0,0,0,0,0,6.630604226836573,0,0,0,0,0,0,8.280019171797205,0,,"2006","Mona/Desecheo","Isla Desecheo","Puerto Botes 20m","Intermediate","ASEC Survey","2006Puerto Botes 20mASEC Survey","2006_Puerto Botes 20m","2006_Isla Desecheo","2006_Mona/Desecheo"
0,0,0,0,0,0,0,0,8.8599570229523,8.806696604220237,0,8.900100440059639,0,0,0,0,0,0,0,0,0,7.10090137185924,0,7.629383010776975,0,9.332646496360152,0,0,0,0,7.170888478512505,6.991793072584934,10.799595985047786,0,0,6.363562443514051,0,0,9.42550175034317,0,0,6.946947145565514,5.527562266720222,0,0,0,0,7.244941546337007,0,6.2484876498558695,0,0,0,0,0,8.405582070251103,0,0,0,0,0,0,7.418330871492919,0,,"2006","Mona/Desecheo","Isla Desecheo","Puerto Canoas 30m","Mesophotic","ASEC Survey","2006Puerto Canoas 30mASEC Survey","2006_Puerto Canoas 30m","2006_Isla Desecheo","2006_Mona/Desecheo"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.999239969104315,0,0,0,0,0,0,0,0,0,7.8636512654486515,5.1243210585000725,0,0,0,0,0,0,9.128544461674,0,0,0,6.047230325013839,0,0,0,0,0,0,7.8062811459114005,0,0,0,0,0,6.90875477931522,0,0,0,0,0,0,8.08738825848078,0,,"2007","Mona/Desecheo","Isla Desecheo","Puerto Botes 15m","Intermediate","ASEC Survey","2007Puerto Botes 15mASEC Survey","2007_Puerto Botes 15m","2007_Isla Desecheo","2007_Mona/Desecheo"
