"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.130154553390994,0,6.145215146913901,0,0,0,6.950134460457222,0,0,0,0,0,0,0,0,0,0,7.252670345826001,0,0,0,0,0,0,0,6.093682630493311,6.84728314553876,0,6.433936380845242,0,0,0,0,0,0,0,0,0,0,0,0,7.560705269790669,0,,"2009","Mona/Desecheo","Isla Mona","Las Carmelitas","Shallow","ASEC Survey","2009Las CarmelitasASEC Survey","2009_Las Carmelitas","2009_Isla Mona","2009_Mona/Desecheo"
0,0,0,0,0,6.775993747799883,0,0,0,0,0,0,0,0,9.465060106725137,0,0,0,0,0,0,7.10090137185924,0,7.772146216795518,0,0,0,7.692177235317669,0,0,0,0,0,0,0,0,0,0,7.872005353798853,0,0,8.649606459172064,0,0,0,0,7.045079469845356,7.550135342488429,0,7.224389173383686,0,0,0,0,0,0,0,0,0,0,0,0,8.111177932002592,0,,"2009","Mona/Desecheo","Isla Mona","Mujeres","Intermediate","ASEC Survey","2009MujeresASEC Survey","2009_Mujeres","2009_Isla Mona","2009_Mona/Desecheo"
0,0,0,0,0,0,0,0,7.511486375378529,0,0,0,0,0,9.04793908261736,0,0,0,0,0,0,0,0,6.8088406108076995,0,0,0,7.344958043677256,0,0,0,0,0,0,0,0,0,0,7.252670345826001,0,0,6.044436431874088,0,0,0,0,6.605392639060406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.560705269790669,0,,"2009","Mona/Desecheo","Isla Mona","Sardinera","Mesophotic","ASEC Survey","2009SardineraASEC Survey","2009_Sardinera","2009_Isla Mona","2009_Mona/Desecheo"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.774613655416792,0,6.302215964143707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.252670345826001,0,0,6.044436431874088,0,0,0,0,6.093682630493311,6.84728314553876,0,7.117602828923983,0,0,0,0,0,0,0,0,0,0,0,0,7.418330871492919,0,,"2010","Mona/Desecheo","Isla Mona","Las Carmelitas","Shallow","ASEC Survey","2010Las CarmelitasASEC Survey","2010_Las Carmelitas","2010_Isla Mona","2010_Mona/Desecheo"
0,0,0,0,0,6.775993747799883,0,0,0,0,0,0,0,0,9.825580063659602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.768816905196786,0,0,8.331697000800588,0,0,0,0,7.773501909437801,7.550135342488429,0,7.525057595248752,0,0,0,0,0,0,0,0,0,0,0,0,8.111177932002592,6.718578277231201,,"2010","Mona/Desecheo","Isla Mona","Mujeres","Intermediate","ASEC Survey","2010MujeresASEC Survey","2010_Mujeres","2010_Isla Mona","2010_Mona/Desecheo"
0,0,0,0,0,0,0,0,7.511486375378529,0,0,0,0,0,9.04793908261736,0,0,0,0,0,0,0,0,6.8088406108076995,0,0,0,7.344958043677256,0,0,0,0,0,0,0,0,0,0,7.252670345826001,0,0,6.044436431874088,0,0,0,0,0,0,0,0,0,5.702114417555504,0,0,0,0,0,0,0,0,0,0,7.560705269790669,0,,"2010","Mona/Desecheo","Isla Mona","Sardinera","Mesophotic","ASEC Survey","2010SardineraASEC Survey","2010_Sardinera","2010_Isla Mona","2010_Mona/Desecheo"
3.79974976294536,4.353369925424077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.248811946644198,0,0,0,0,0,0,6.617322760853427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0717669598299886,0,0,4.337813479997556,0,0,0,0,0,0,,"2020","Mona/Desecheo","Isla Mona","Sardinera (2020)","Mesophotic","1","2020Sardinera (2020)1","2020_Sardinera (2020)","2020_Isla Mona","2020_Mona/Desecheo"
4.729686060685659,0,0,0,0,0,0,0,0,0,0,0,5.2812220711194,0,0,6.08116813018976,5.82346001090882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.741471904233107,0,0,3.657646751682838,0,0,0,0,0,0,,"2020","Mona/Desecheo","Isla Mona","Sardinera (2020)","Mesophotic","2","2020Sardinera (2020)2","2020_Sardinera (2020)","2020_Isla Mona","2020_Mona/Desecheo"
0,0,3.79974976294536,0,0,0,0,0,0,0,0,0,0,0,0,5.856160155077084,5.82346001090882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.151501137763091,0,0,0,4.8816649127992955,0,0,0,0,8.575650760987806,0,0,0,0,0,0,5.546894719119057,0,0,5.4681445257603025,0,0,0,0,0,0,,"2020","Mona/Desecheo","Isla Mona","Sardinera (2020)","Mesophotic","3","2020Sardinera (2020)3","2020_Sardinera (2020)","2020_Isla Mona","2020_Mona/Desecheo"
4.729686060685659,0,3.813527758679047,0,0,0,0,0,0,0,0,0,0,0,0,5.856160155077084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96535894922662,0,0,0,0,0,0,6.584888072794888,0,0,,"2020","Mona/Desecheo","Isla Mona","Sardinera (2020)","Mesophotic","4","2020Sardinera (2020)4","2020_Sardinera (2020)","2020_Isla Mona","2020_Mona/Desecheo"
