"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57779181427375,8.484583219085843,0,0,0,0,0,0,0,0,0,6.86929507656724,0,0,0,0,0,6.285029282717918,0,0,0,0,0,0,6.8680784618292385,0,,"2013","Southwest","La Parguera","Beril","Intermediate","ASEC Survey","2013BerilASEC Survey","2013_Beril","2013_La Parguera","2013_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.497718948652777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.320616874042804,0,5.543104985920118,0,3.5473158897921495,4.19735231229633,0,0,4.009694032601592,0,0,0,6.104324372517359,0,0,,"2015","Southwest","La Parguera","Boya Vieja (2015)","Intermediate","1","2015Boya Vieja (2015)1","2015_Boya Vieja (2015)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089391872533004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.279782759771722,0,2.2438960966453663,0,0,0,5.024406698180174,0,0,0,0,0,0,,"2015","Southwest","La Parguera","Boya Vieja (2015)","Intermediate","2","2015Boya Vieja (2015)2","2015_Boya Vieja (2015)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089391872533004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0920085024245525,0,0,0,4.706100904566532,5.620690678789748,0,0,2.217027204632399,0,0,0,4.2381562642541795,0,0,,"2015","Southwest","La Parguera","Boya Vieja (2015)","Intermediate","3","2015Boya Vieja (2015)3","2015_Boya Vieja (2015)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.175617282350837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9947317732204075,0,0,0,4.140432666414855,0,0,0,3.735285826928092,0,0,0,3.874943997186725,7.880989512715426,0,,"2015","Southwest","La Parguera","Boya Vieja (2015)","Intermediate","4","2015Boya Vieja (2015)4","2015_Boya Vieja (2015)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089391872533004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0920085024245525,0,1.6845453849209058,0,0,5.2269287704603835,0,0,4.009694032601592,0,0,0,2.5160822672564502,0,0,,"2015","Southwest","La Parguera","Boya Vieja (2015)","Intermediate","5","2015Boya Vieja (2015)5","2015_Boya Vieja (2015)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1018924693823817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8919480330707374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2015","Southwest","La Parguera","Beril","Intermediate","1","2015Beril1","2015_Beril","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.598718211407593,0,0,0,0,4.619566066271823,0,0,0,0,0,,"2015","Southwest","La Parguera","Beril","Intermediate","2","2015Beril2","2015_Beril","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089391872533004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.579616612030595,0,0,,"2015","Southwest","La Parguera","Beril","Intermediate","3","2015Beril3","2015_Beril","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.497718948652777,0,0,0,0,0,0,0,0,0,0,0,9.554079710560575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.543104985920118,0,4.706100904566532,0,0,0,0,0,0,0,2.5160822672564502,0,0,,"2015","Southwest","La Parguera","Beril","Intermediate","4","2015Beril4","2015_Beril","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089391872533004,3.597860055726768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.010301905195018,0,0,0,0,0,0,0,3.874943997186725,0,0,,"2015","Southwest","La Parguera","Beril","Intermediate","5","2015Beril5","2015_Beril","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0697210450737495,0,0,0,3.168003494494444,0,0,,"2015","Southwest","La Parguera","Media Luna 10m (Parguera)","Shallow","1","2015Media Luna 10m (Parguera)1","2015_Media Luna 10m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60025814162707,5.017279836814924,0,0,0,0,0,0,0,0,0,,"2015","Southwest","La Parguera","Media Luna 10m (Parguera)","Shallow","2","2015Media Luna 10m (Parguera)2","2015_Media Luna 10m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9947317732204075,0,0,0,2.2438960966453663,0,0,0,0,0,0,0,0.4946962418361071,0,0,,"2015","Southwest","La Parguera","Media Luna 10m (Parguera)","Shallow","3","2015Media Luna 10m (Parguera)3","2015_Media Luna 10m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2438960966453663,0,0,0,0,4.619566066271823,0,0,4.815674193755838,0,0,,"2015","Southwest","La Parguera","Media Luna 10m (Parguera)","Shallow","4","2015Media Luna 10m (Parguera)4","2015_Media Luna 10m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10370053165993,0,0,0,2.2438960966453663,0,0,0,4.337813479997556,0,0,0,3.874943997186725,0,0,,"2015","Southwest","La Parguera","Media Luna 10m (Parguera)","Shallow","5","2015Media Luna 10m (Parguera)5","2015_Media Luna 10m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.674136390452814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.799940779549228,0,0,6.74259757686658,0,0,0,6.107178777595254,0,0,,"2015","Southwest","La Parguera","Media Luna 5m (Parguera)","Very Shallow","1","2015Media Luna 5m (Parguera)1","2015_Media Luna 5m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.366006422562636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7133281345162463,0,0,0,0,0,0,0,0,0,0,6.2484876498558695,0,0,0,3.6254070311583626,6.117568423903708,0,0,4.6659830253846035,4.619566066271823,0,0,6.585771574833335,0,0,,"2015","Southwest","La Parguera","Media Luna 5m (Parguera)","Very Shallow","2","2015Media Luna 5m (Parguera)2","2015_Media Luna 5m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6312717768418578,4.274719781685373,0,0,0,0,0,0,6.617550025985918,0,0,,"2015","Southwest","La Parguera","Media Luna 5m (Parguera)","Very Shallow","3","2015Media Luna 5m (Parguera)3","2015_Media Luna 5m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.943925528623873,0,0,5.357906157959694,0,0,0,2.5664866367804233,0,0,,"2015","Southwest","La Parguera","Media Luna 5m (Parguera)","Very Shallow","4","2015Media Luna 5m (Parguera)4","2015_Media Luna 5m (Parguera)","2015_La Parguera","2015_Southwest"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.510199948396864,5.1543315160196554,0,0,3.657646751682838,0,0,0,6.2057893271139735,0,0,,"2015","Southwest","La Parguera","Media Luna 5m (Parguera)","Very Shallow","5","2015Media Luna 5m (Parguera)5","2015_Media Luna 5m (Parguera)","2015_La Parguera","2015_Southwest"
4.532814523795951,3.673004104955646,2.458733775483977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4226886163927714,0,0,5.645340884956954,0,0,0,6.7970694981243795,0,0,,"2017","Southwest","La Parguera","Boya Vieja (2015)","Intermediate","1","2017Boya Vieja (2015)1","2017_Boya Vieja (2015)","2017_La Parguera","2017_Southwest"
