"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.674136390452814,0,0,0,0,0,0,0,0,0,0,4.0920085024245525,0,0,0,5.279440310778347,4.96535894922662,0,0,5.354414105899907,0,0,0,7.711974135432773,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","1","2016Cayo Rodriguez1","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.691874963093735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.676839472678451,0,0,0,4.6659830253846035,0,0,0,0,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","2","2016Cayo Rodriguez2","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.418599614904721,0,3.3495531485098167,0,0,0,5.659760922561871,0,0,0,3.5773890780805733,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","3","2016Cayo Rodriguez3","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6625354787743345,0,0,0,2.2438960966453663,4.469121341524815,0,0,0,0,0,0,3.888140064964814,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","4","2016Cayo Rodriguez4","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6659830253846035,0,0,0,0.8241754429663495,0,0,,"2016","West","Mayaguez","Cayo Rodriguez","Very Shallow","5","2016Cayo Rodriguez5","2016_Cayo Rodriguez","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.741471904233107,0,0,3.849083205654272,0,0.9162907318741551,0,0,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","1","2016Guanajibo1","2016_Guanajibo","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0717669598299886,0,0,0,0,0,0,2.614471854142644,8.944229296972544,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","2","2016Guanajibo2","2016_Guanajibo","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.838833833515715,8.653610416019218,8.936035096566041,0,0,0,0,0,9.06776246850154,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","3","2016Guanajibo3","2016_Guanajibo","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.706589661882154,0,0,4.6659830253846035,0,0,0,4.55765920331704,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","4","2016Guanajibo4","2016_Guanajibo","2016_Mayaguez","2016_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8816649127992955,0,0,0,0,9.857495968685136,0,0,0,0,0,0,4.466942066704648,0,0,5.025326842839245,0,0,0,6.80899515495796,0,0,,"2016","West","Mayaguez","Guanajibo","Intermediate","5","2016Guanajibo5","2016_Guanajibo","2016_Mayaguez","2016_West"
