"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,6.272046473069456,6.892215154300405,0,0,0,0,0,0,5.404657402319363,0,0,0,6.796387869116464,6.906874891554829,0,0,0,0,0,0,0,0,0,0,0,9.105090961257085,0,0,0,0,0,0,0,0,,"2004","West","Rincon","Tres Palmas 10m","Shallow","ASEC Survey","2004Tres Palmas 10mASEC Survey","2004_Tres Palmas 10m","2004_Rincon","2004_West"
0,0,0,0,0,0,0,0,6.677373091844226,0,0,0,0,0,0,0,0,0,4.803036954117508,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,6.272046473069456,6.892215154300405,0,0,0,0,0,0,5.404657402319363,0,0,0,6.796387869116464,6.627816483168128,0,0,0,0,0,0,0,0,0,0,0,9.105090961257085,0,0,0,0,0,0,7.880989512715426,0,,"2004","West","Rincon","Tres Palmas 20m","Intermediate","ASEC Survey","2004Tres Palmas 20mASEC Survey","2004_Tres Palmas 20m","2004_Rincon","2004_West"
0,0,0,0,0,0,0,0,6.4139670248004474,0,3.775515760773483,2.4336133554004498,0,0,0,0,4.535391291380175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.060010652142997,4.674136390452814,0,0,0,0,0,0,0,0,0,0,0,0,0,6.057696945325412,0,0,8.222145391810352,0,0,0,0,0,0,0,0,,"2004","West","Rincon","Tres Palmas 5m","Very Shallow","ASEC Survey","2004Tres Palmas 5mASEC Survey","2004_Tres Palmas 5m","2004_Rincon","2004_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.454209386505011,0,0,0,0,0,0,6.272046473069456,4.17392562489244,0,0,0,0,0,0,5.404657402319363,0,0,0,0,6.017351568059828,0,0,0,0,0,0,0,0,0,0,0,6.285029282717918,0,0,0,0,0,0,0,0,,"2005","West","Rincon","Tres Palmas 10m","Shallow","ASEC Survey","2005Tres Palmas 10mASEC Survey","2005_Tres Palmas 10m","2005_Rincon","2005_West"
0,0,0,0,0,0,0,0,6.677373091844226,0,0,0,0,0,0,0,0,0,2.779440197188883,0,10.035217323214022,0,0,7.389218001316767,0,0,0,0,0,0,6.272046473069456,6.892215154300405,0,0,0,0,0,7.496097345175956,0,0,0,0,6.4818068119325725,5.847651911742134,0,0,0,0,0,0,0,0,0,0,0,9.210440366976517,0,0,0,0,0,0,10.14377097346553,0,,"2005","West","Rincon","Tres Palmas 20m","Intermediate","ASEC Survey","2005Tres Palmas 20mASEC Survey","2005_Tres Palmas 20m","2005_Rincon","2005_West"
0,0,0,0,0,0,0,0,6.8665061099024864,0,3.9993010135352067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.268988209506656,0,0,0,0,0,6.648284823407912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.630604226836573,0,0,0,0,0,0,7.418330871492919,0,,"2005","West","Rincon","Tres Palmas 5m","Very Shallow","ASEC Survey","2005Tres Palmas 5mASEC Survey","2005_Tres Palmas 5m","2005_Rincon","2005_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7795582049768806,0,0,0,0,0,0,6.272046473069456,4.17392562489244,0,0,0,0,0,0,5.404657402319363,0,0,0,0,6.2395348299460505,0,0,0,0,0,0,8.027202341838075,0,0,0,0,0,0,0,0,0,0,0,7.880989512715426,0,,"2006","West","Rincon","Tres Palmas 10m","Shallow","ASEC Survey","2006Tres Palmas 10mASEC Survey","2006_Tres Palmas 10m","2006_Rincon","2006_West"
0,0,0,0,0,0,0,0,7.521956650055707,0,0,0,0,0,0,0,0,0,2.779440197188883,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,6.812697067431146,6.356663061987591,8.81001204797317,0,0,0,0,0,5.404657402319363,0,0,0,0,5.847651911742134,0,0,0,0,0,6.928077379172044,0,0,0,0,0,7.622252907952733,0,0,0,0,0,0,7.156176637480615,0,,"2006","West","Rincon","Tres Palmas 20m","Intermediate","ASEC Survey","2006Tres Palmas 20mASEC Survey","2006_Tres Palmas 20m","2006_Rincon","2006_West"
0,0,0,0,0,0,0,0,6.4139670248004474,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.603040904854669,6.648284823407912,0,0,0,5.975208124588459,0,7.599921979028121,0,0,0,0,5.409500895508652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2006","West","Rincon","Tres Palmas 5m","Very Shallow","ASEC Survey","2006Tres Palmas 5mASEC Survey","2006_Tres Palmas 5m","2006_Rincon","2006_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,6.272046473069456,4.17392562489244,0,0,0,0,0,0,5.794780339478191,0,0,0,0,7.267978918844612,0,0,0,0,0,0,7.334381568258304,0,0,0,0,0,0,0,0,0,0,0,8.631071725528676,0,,"2007","West","Rincon","Tres Palmas 10m","Shallow","ASEC Survey","2007Tres Palmas 10mASEC Survey","2007_Tres Palmas 10m","2007_Rincon","2007_West"
