"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0,0,6.620473126551683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.953868069455292,7.3829019102911095,0,6.749415838533424,0,0,5.3600707628235185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8680784618292385,0,,"2011","North-Northeast","Vega Baja","Cibuco (2011)","Very Shallow","ASEC Survey","2011Cibuco (2011)ASEC Survey","2011_Cibuco (2011)","2011_Vega Baja","2011_North-Northeast"
0,0,0,0,0,0,0,0,6.7151651807113835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341801171705499,6.419147663782579,0,7.0799591575878065,0,0,6.189454379538652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8680784618292385,0,,"2013","North-Northeast","Vega Baja","Cibuco (2013)","Shallow","ASEC Survey","2013Cibuco (2013)ASEC Survey","2013_Cibuco (2013)","2013_Vega Baja","2013_North-Northeast"
0,0,0,8.867990898182093,0,0,0,0,0,0,0,0,0,0,0,0,2.89591193827178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2015","North-Northeast","Carolina","Reserva Isla Verde","Very Shallow","1","2015Reserva Isla Verde1","2015_Reserva Isla Verde","2015_Carolina","2015_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89591193827178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9947317732204075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2015","North-Northeast","Carolina","Reserva Isla Verde","Very Shallow","2","2015Reserva Isla Verde2","2015_Reserva Isla Verde","2015_Carolina","2015_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089391872533004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2015","North-Northeast","Carolina","Reserva Isla Verde","Very Shallow","3","2015Reserva Isla Verde3","2015_Reserva Isla Verde","2015_Carolina","2015_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7186603802142257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2015","North-Northeast","Carolina","Reserva Isla Verde","Very Shallow","4","2015Reserva Isla Verde4","2015_Reserva Isla Verde","2015_Carolina","2015_North-Northeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.597860055726768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.217027204632399,0,0,0,0,0,0,,"2015","North-Northeast","Carolina","Reserva Isla Verde","Very Shallow","5","2015Reserva Isla Verde5","2015_Reserva Isla Verde","2015_Carolina","2015_North-Northeast"
0,3.673004104955646,0.4824261492442928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9947317732204075,0,0,0,0,2.698673039289613,0,0,4.6659830253846035,0,0,0,0.8241754429663495,0,0,,"2016","North-Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","1","2016Cayo Diablo (2016)1","2016_Cayo Diablo (2016)","2016_Fajardo","2016_North-Northeast"
3.7360015611826713,0,4.961164898621959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125882958019036,0,0,0,0,0,0,4.908602568531104,0,0,,"2016","North-Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","2","2016Cayo Diablo (2016)2","2016_Cayo Diablo (2016)","2016_Fajardo","2016_North-Northeast"
0,0.41871033485818504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2092294478163956,0,0,3.657646751682838,5.9818434120639274,0,0,6.6769071232823745,0,0,,"2016","North-Northeast","Fajardo","Cayo Diablo (2016)","Very Shallow","3","2016Cayo Diablo (2016)3","2016_Cayo Diablo (2016)","2016_Fajardo","2016_North-Northeast"
