"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.364492547959484,0,0,0,0,5.157387242113832,0,0,0,0,0,4.77676777941907,0,1.6845453849209058,0,0,0,0,0,0,0,0,0,0,0,0,,"2013","Southeast","Salinas","Cayo Caribes (2013)","Shallow","ASEC Survey","2013Cayo Caribes (2013)ASEC Survey","2013_Cayo Caribes (2013)","2013_Salinas","2013_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.454209386505011,0,0,0,0,0,0,0,0,0,0,6.5873158276255,0,0,0,6.293160465320182,0,0,0,0,0,0,0,0,0,0,6.397812598640187,0,3.099190981922221,0,0,0,6.977244027501748,0,0,0,0,0,0,7.418330871492919,0,,"2013","Southeast","Guayama","Guayama Outer Shelf","Intermediate","ASEC Survey","2013Guayama Outer ShelfASEC Survey","2013_Guayama Outer Shelf","2013_Guayama","2013_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.418054936831094,0,0,6.529856698591778,0,0,0,0,0,0,0,5.530777384499595,0,3.099190981922221,0,0,0,0,0,0,0,0,0,0,6.8680784618292385,0,,"2013","Southeast","Guayama","Guayama Patch Reef","Very Shallow","ASEC Survey","2013Guayama Patch ReefASEC Survey","2013_Guayama Patch Reef","2013_Guayama","2013_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.856160155077084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.841585279495541,0,0,0,1.1631508098056809,0,0,0,3.657646751682838,0,0,0,6.104324372517359,0,0,,"2016","Southeast","Salinas","Cayo Caribes (2016)","Shallow","1","2016Cayo Caribes (2016)1","2016_Cayo Caribes (2016)","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.841585279495541,0,0,0,1.6863989535702288,0,0,0,3.657646751682838,0,0,0,0,0,0,,"2016","Southeast","Salinas","Cayo Caribes (2016)","Shallow","2","2016Cayo Caribes (2016)2","2016_Cayo Caribes (2016)","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1631508098056809,0,0,0,0,5.9818434120639274,0,0,1.0715836162801904,0,0,,"2016","Southeast","Salinas","Cayo Caribes (2016)","Shallow","3","2016Cayo Caribes (2016)3","2016_Cayo Caribes (2016)","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.344565612343388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6659830253846035,0,0,0,0,0,0,,"2016","Southeast","Salinas","Cayo Caribes (2016)","Shallow","4","2016Cayo Caribes (2016)4","2016_Cayo Caribes (2016)","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1631508098056809,0,0,0,2.2565411544926386,0,0,0,0,0,0,,"2016","Southeast","Salinas","Cayo Caribes (2016)","Shallow","5","2016Cayo Caribes (2016)5","2016_Cayo Caribes (2016)","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0920085024245525,0,0,0,0,0,0,0,0.7466879474879753,0,0,0,0,0,0,,"2016","Southeast","Salinas","Cayo Ratones","Very Shallow","1","2016Cayo Ratones1","2016_Cayo Ratones","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.764682417529437,0,0,0,4.6659830253846035,0,0,0,3.874943997186725,0,0,,"2016","Southeast","Salinas","Cayo Ratones","Very Shallow","2","2016Cayo Ratones2","2016_Cayo Ratones","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.404657402319363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2823823856765264,0,0,0,4.6659830253846035,0,0,0,0.4946962418361071,0,0,,"2016","Southeast","Salinas","Cayo Ratones","Very Shallow","3","2016Cayo Ratones3","2016_Cayo Ratones","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.764682417529437,0,0,0,3.657646751682838,0,0,0,5.470336030346094,0,0,,"2016","Southeast","Salinas","Cayo Ratones","Very Shallow","4","2016Cayo Ratones4","2016_Cayo Ratones","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.841585279495541,0,0,0,0,0,0,0,5.433023069400328,0,0,0,1.4350845252893227,0,0,,"2016","Southeast","Salinas","Cayo Ratones","Very Shallow","5","2016Cayo Ratones5","2016_Cayo Ratones","2016_Salinas","2016_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.633895145781177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2017","Southeast","Salinas","Cayo Caribes (2016)","Shallow","1","2017Cayo Caribes (2016)1","2017_Cayo Caribes (2016)","2017_Salinas","2017_Southeast"
0,2.9967317738870745,0.4824261492442928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0717669598299886,0,0,4.6694586758704535,0,0,0,2.5664866367804233,0,0,,"2017","Southeast","Salinas","Cayo Caribes (2016)","Shallow","2","2017Cayo Caribes (2016)2","2017_Cayo Caribes (2016)","2017_Salinas","2017_Southeast"
0,1.415853163361435,2.458733775483977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1610215286722587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2092294478163956,0,0,0,0,0.4054651081081644,0,2.5664866367804233,0,0,,"2017","Southeast","Salinas","Cayo Caribes (2016)","Shallow","3","2017Cayo Caribes (2016)3","2017_Cayo Caribes (2016)","2017_Salinas","2017_Southeast"
0,2.4239173781615704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.311184232254861,0,0,0,3.5473158897921495,2.388762789235098,0,0,3.856933039110186,0,0,0,0,0,0,,"2017","Southeast","Salinas","Cayo Caribes (2016)","Shallow","4","2017Cayo Caribes (2016)4","2017_Cayo Caribes (2016)","2017_Salinas","2017_Southeast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.250911244150767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0920085024245525,0,0,0,0,3.673765816303888,0,0,2.217027204632399,0,0,0,0,0,0,,"2017","Southeast","Salinas","Cayo Caribes (2016)","Shallow","5","2017Cayo Caribes (2016)5","2017_Cayo Caribes (2016)","2017_Salinas","2017_Southeast"
3.0596455992976437,1.1249295969854831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0920085024245525,0,0,0,0.36464311358790924,3.0717669598299886,0,0,5.81368267035606,0,0,0,4.815674193755838,0,0,,"2017","Southeast","Salinas","Cayo Ratones","Very Shallow","1","2017Cayo Ratones1","2017_Cayo Ratones","2017_Salinas","2017_Southeast"
0.47623417899637155,2.4239173781615704,3.108167702883779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.795542580971757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08845513242161,0,0,0,4.261834449345476,0,0,,"2017","Southeast","Salinas","Cayo Ratones","Very Shallow","2","2017Cayo Ratones2","2017_Cayo Ratones","2017_Salinas","2017_Southeast"
0,3.686125665917315,0.8064758658669485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.334083760053417,0,0,0,0,0,0,0,0,0,0,2.9947317732204075,0,0,0,4.305145590337924,0,0,0,4.6659830253846035,0,0,0,2.5664866367804233,0,0,,"2017","Southeast","Salinas","Cayo Ratones","Very Shallow","3","2017Cayo Ratones3","2017_Cayo Ratones","2017_Salinas","2017_Southeast"
0,1.7369512327330598,1.0508216248317612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.179421211604181,0,0,0,0,2.5556757206762075,0,0,4.6659830253846035,0,0,0,0.4946962418361071,0,0,,"2017","Southeast","Salinas","Cayo Ratones","Very Shallow","4","2017Cayo Ratones4","2017_Cayo Ratones","2017_Salinas","2017_Southeast"
0,0.41871033485818504,0.4824261492442928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.334083760053417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.188295946591918,0,0,2.854168709232204,0,0,0,3.9011642620932703,0,0,,"2017","Southeast","Salinas","Cayo Ratones","Very Shallow","5","2017Cayo Ratones5","2017_Cayo Ratones","2017_Salinas","2017_Southeast"
4.019800597601577,0.41871033485818504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5177339814546125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0920085024245525,0,0,0,0,3.125882958019036,0,0,2.217027204632399,0,2.3841650799864684,0,0,0,0,,"2019","Southeast","Salinas","Cayo Caribes (2016)","shallow","1","2019Cayo Caribes (2016)1","2019_Cayo Caribes (2016)","2019_Salinas","2019_Southeast"
0.8064758658669485,0.712949807856125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9947317732204075,0,0,0,0,3.54558628428746,0,0,3.849083205654272,0,0.6931471805599453,0,6.6004825567653524,0,0,,"2019","Southeast","Salinas","Cayo Caribes (2016)","shallow","2","2019Cayo Caribes (2016)2","2019_Cayo Caribes (2016)","2019_Salinas","2019_Southeast"
0.4824261492442928,2.327277705584417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0750024230289759,0,0,0,1.2919836816486494,2.388762789235098,0,0,2.217027204632399,0,0,0,0.4946962418361071,0,0,,"2019","Southeast","Salinas","Cayo Caribes (2016)","shallow","3","2019Cayo Caribes (2016)3","2019_Cayo Caribes (2016)","2019_Salinas","2019_Southeast"
2.559550192783766,1.415853163361435,5.418408846805857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8415671856782188,2.188295946591918,0,0,2.217027204632399,0,0.4054651081081644,0,2.614471854142644,0,0,,"2019","Southeast","Salinas","Cayo Caribes (2016)","shallow","4","2019Cayo Caribes (2016)4","2019_Cayo Caribes (2016)","2019_Salinas","2019_Southeast"
4.745975062579112,0,3.108167702883779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.454209386505011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7133281345162463,0,0,0,0,0,0,0,0,0,0,4.925077405734609,0,0,0,1.7647307968401356,1.601405740736836,0,0,3.657646751682838,0,0,0,2.5664866367804233,0,0,,"2019","Southeast","Salinas","Cayo Caribes (2016)","shallow","5","2019Cayo Caribes (2016)5","2019_Cayo Caribes (2016)","2019_Salinas","2019_Southeast"
5.0559272832879625,0.41871033485818504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.404657402319363,0,0,0,0,0,0,0,0,0,0,6.334628629018767,0,0,0,0,0,0,0,0,0,0.6931471805599453,0,0,0,0,,"2019","Southeast","Salinas","Cayo Ratones","very shallow","1","2019Cayo Ratones1","2019_Cayo Ratones","2019_Salinas","2019_Southeast"
2.510411940196362,0,0.4824261492442928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.992788670070113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.698673039289613,0,0,4.6659830253846035,0,0,0,2.614471854142644,0,0,,"2019","Southeast","Salinas","Cayo Ratones","very shallow","2","2019Cayo Ratones2","2019_Cayo Ratones","2019_Salinas","2019_Southeast"
