"Acanthurus tractus (bahianus)","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alectis ciliaris","Balistes vetula","Calamus pennatula","Canthidermis sufflamen","Caranx crysos","Caranx hippos","Caranx latus","Caranx lugubris","Caranx ruber","Carcharhinus limbatus","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Decapterus macarellus","Elagatis bipinnulata","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Gerres cinereus","Ginglymostoma cirratum","Gymnothorax moringa","Haemulon plumierii","Holacanthus ciliaris","Holacanthus tricolor","Hypanus americanus","Istiophorus albicans","Lachnolaimus maximus","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Lutjanus synagris","Microspathodon chrysurus","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Negaprion brevirostris","Ocyurus chrysurus","Pomacanthus paru","Pterois volitans","Scarus coelestinus","Scarus iseri","Scarus taeniopterus","Scomberomorus regalis","Seriola rivoliana","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphyraena barracuda","Trachinotus falcatus","-","YEAR","REGION","LOCATION","SITE NAME","DEPTH ZONE","TRANSECT","sample_code","YEAR_SITE","YEAR_LOCATION","YEAR_REGION"
0,0,0,0,0,7.685496333391017,0,0,6.8309930180879075,0,0,0,0,0,0,0,0,4.906163272499545,0,3.405189402931693,0,0,0,6.617322760853427,0,5.250911244150767,0,0,0,0,0,5.446866673651275,0,0,0,0,0,0,7.28918722368218,0,0,0,0,6.189454379538652,0,0,0,0,0,6.552736106354346,0,0,0,0,0,7.438971592395862,0,0,0,0,0,0,6.8680784618292385,0,,"2004","West","Cabo Rojo","Tourmaline 10m","Shallow","ASEC Survey","2004Tourmaline 10mASEC Survey","2004_Tourmaline 10m","2004_Cabo Rojo","2004_West"
0,0,0,0,0,6.311843696146471,0,0,7.521956650055707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.888246208593912,0,0,0,0,0,0,0,5.446866673651275,0,0,0,0,0,0,7.177095157186053,0,0,0,0,7.736608361207199,0,0,0,0,0,7.1764456452523175,0,0,0,0,0,7.438971592395862,0,0,0,0,0,0,0,0,,"2004","West","Cabo Rojo","Tourmaline 20m","Intermediate","ASEC Survey","2004Tourmaline 20mASEC Survey","2004_Tourmaline 20m","2004_Cabo Rojo","2004_West"
0,0,0,6.247984845745489,0,7.170888478512505,0,9.476790125609739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.389218001316767,0,0,0,0,0,0,5.70304887230245,4.5592309540466465,0,0,8.261079551032052,0,0,7.310957829436043,4.674136390452814,0,0,0,0,5.828680876687068,0,0,0,0,0,6.170948749081776,0,0,0,0,0,8.38958706681109,0,0,0,0,0,0,9.484611924017699,0,,"2004","West","Cabo Rojo","Tourmaline 30m","Mesophotic","ASEC Survey","2004Tourmaline 30mASEC Survey","2004_Tourmaline 30m","2004_Cabo Rojo","2004_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,6.272046473069456,6.892215154300405,0,0,0,0,0,0,5.404657402319363,0,0,0,6.796387869116464,6.906874891554829,0,0,0,0,0,0,0,0,0,0,0,9.105090961257085,0,0,0,0,0,0,0,0,,"2004","West","Rincon","Tres Palmas 10m","Shallow","ASEC Survey","2004Tres Palmas 10mASEC Survey","2004_Tres Palmas 10m","2004_Rincon","2004_West"
0,0,0,0,0,0,0,0,6.677373091844226,0,0,0,0,0,0,0,0,0,4.803036954117508,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,6.272046473069456,6.892215154300405,0,0,0,0,0,0,5.404657402319363,0,0,0,6.796387869116464,6.627816483168128,0,0,0,0,0,0,0,0,0,0,0,9.105090961257085,0,0,0,0,0,0,7.880989512715426,0,,"2004","West","Rincon","Tres Palmas 20m","Intermediate","ASEC Survey","2004Tres Palmas 20mASEC Survey","2004_Tres Palmas 20m","2004_Rincon","2004_West"
0,0,0,0,0,0,0,0,6.4139670248004474,0,3.775515760773483,2.4336133554004498,0,0,0,0,4.535391291380175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.060010652142997,4.674136390452814,0,0,0,0,0,0,0,0,0,0,0,0,0,6.057696945325412,0,0,8.222145391810352,0,0,0,0,0,0,0,0,,"2004","West","Rincon","Tres Palmas 5m","Very Shallow","ASEC Survey","2004Tres Palmas 5mASEC Survey","2004_Tres Palmas 5m","2004_Rincon","2004_West"
0,0,0,0,0,0,0,0,7.170703988013242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,0,6.239007985245727,0,0,0,0,0,0,8.344806915857255,0,0,0,0,6.906954958811368,0,0,0,0,0,4.0920085024245525,0,0,0,0,0,7.438971592395862,0,0,0,0,0,0,7.418330871492919,0,,"2005","West","Cabo Rojo","Tourmaline 10m","Shallow","ASEC Survey","2005Tourmaline 10mASEC Survey","2005_Tourmaline 10m","2005_Cabo Rojo","2005_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.607947554684701,0,0,5.454209386505011,0,7.783640596221253,0,0,0,0,0,7.134675688977843,0,0,0,0,0,0,8.801931435052778,9.89124947177761,0,7.639613427412694,0,7.272509497508775,0,0,0,0,0,6.888898604131832,0,0,0,0,0,8.103929755234999,0,0,0,0,0,0,0,0,,"2005","West","Cabo Rojo","Tourmaline 20m","Intermediate","ASEC Survey","2005Tourmaline 20mASEC Survey","2005_Tourmaline 20m","2005_Cabo Rojo","2005_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.550135342488429,0,6.682121128699613,0,0,0,0,0,7.438971592395862,0,0,0,0,0,0,0,0,,"2005","West","Cabo Rojo","Tourmaline 30m","Mesophotic","ASEC Survey","2005Tourmaline 30mASEC Survey","2005_Tourmaline 30m","2005_Cabo Rojo","2005_West"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.454209386505011,0,0,0,0,0,0,6.272046473069456,4.17392562489244,0,0,0,0,0,0,5.404657402319363,0,0,0,0,6.017351568059828,0,0,0,0,0,0,0,0,0,0,0,6.285029282717918,0,0,0,0,0,0,0,0,,"2005","West","Rincon","Tres Palmas 10m","Shallow","ASEC Survey","2005Tres Palmas 10mASEC Survey","2005_Tres Palmas 10m","2005_Rincon","2005_West"
0,0,0,0,0,0,0,0,6.677373091844226,0,0,0,0,0,0,0,0,0,2.779440197188883,0,10.035217323214022,0,0,7.389218001316767,0,0,0,0,0,0,6.272046473069456,6.892215154300405,0,0,0,0,0,7.496097345175956,0,0,0,0,6.4818068119325725,5.847651911742134,0,0,0,0,0,0,0,0,0,0,0,9.210440366976517,0,0,0,0,0,0,10.14377097346553,0,,"2005","West","Rincon","Tres Palmas 20m","Intermediate","ASEC Survey","2005Tres Palmas 20mASEC Survey","2005_Tres Palmas 20m","2005_Rincon","2005_West"
0,0,0,0,0,0,0,0,6.8665061099024864,0,3.9993010135352067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.268988209506656,0,0,0,0,0,6.648284823407912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.630604226836573,0,0,0,0,0,0,7.418330871492919,0,,"2005","West","Rincon","Tres Palmas 5m","Very Shallow","ASEC Survey","2005Tres Palmas 5mASEC Survey","2005_Tres Palmas 5m","2005_Rincon","2005_West"
0,0,0,0,0,0,0,0,7.170703988013242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0875471557850265,0,0,0,0,0,0,0,0,0,0,7.005843414872856,0,0,0,8.344806915857255,0,0,0,0,7.175153008131211,0,0,0,0,0,6.404087311302745,0,0,0,0,0,6.90875477931522,0,0,0,0,0,0,7.880989512715426,0,,"2006","West","Cabo Rojo","Tourmaline 10m","Shallow","ASEC Survey","2006Tourmaline 10mASEC Survey","2006_Tourmaline 10m","2006_Cabo Rojo","2006_West"
0,0,0,0,0,6.311843696146471,0,0,0,0,0,0,5.2812220711194,0,0,0,0,0,0,0,7.914983005848394,0,0,5.841571457533365,0,6.772679837785048,0,0,0,0,6.272046473069456,6.521224774487753,0,0,0,0,0,0,5.404657402319363,0,0,0,5.527562266720222,0,0,0,0,0,0,7.195404850905781,0,0,0,0,0,7.806468426315496,0,0,0,0,0,0,7.880989512715426,0,,"2006","West","Cabo Rojo","Tourmaline 20m","Intermediate","ASEC Survey","2006Tourmaline 20mASEC Survey","2006_Tourmaline 20m","2006_Cabo Rojo","2006_West"
