label,BALLYHOO,"BARRACUDA,UNSPECIFIED","BOXFISH,UNSPECIFIED","CONCH,QUEEN","CRAB,BLUE LAND","DOLPHINFISH,UNSPECIFIED","FISHES,BONY","GOATFISH,UNSPECIFIED","GROUPER,UNSPECIFIED","GRUNT,WHITE","HERRING,SARDINELLA",HOGFISH,"JACKS,UNSPECIFIED","LOBSTERS,SPINY","MACKEREL,KING","MOJARRAS,UNSPECIFIED","MULLET,WHITE","OCTOPUS,UNSPECIFIED","PARROTFISHES,UNSPECIFIED","PORGY,UNSPECIFIED","SHELLFISH,UNSPECIFIED","SNAPPER,LANE","SNAPPER,MUTTON","SNAPPER,SILK","SNAPPER,UNSPECIFIED","SNAPPER,YELLOWTAIL","SNOOK,UNSPECIFIED","SQUIRRELFISH,UNSPECIFIED","TRIGGERFISH,QUEEN","TUNA AND MACKERELS,UNSPECIFI","MARLIN,UNSPECIFIED","SNOOK,COMMON","TRIGGERFISH,UNSPECIFIED","TUNA,YELLOWFIN",MANGROVE OYSTER,"CLAM,UNSPECIFIED","SHRIMP,PENAEUS","GROUPER,RED HIND","JACK,BAR","LOBSTER,SPOTTED SPINY","SHARKS,REQUIEM","SNAPPER,VERMILION","AMBERJACK,GREATER","BUMPER,ATLANTIC","DRUM,REEF CROAKER","GOBY,SIRAJO","GRUNT,BLACK MARGATE","GRUNT,BURRO",LADYFISH,"MACKEREL,CERO","MOONFISH,ATLANTIC","MULLET,LIZA","MULLET,UNSPECIFIED",PERMIT,"SNAPPER,QUEEN",TARPON,"TUNA,BLACKFIN","GOATFISH,SPOTTED","GROUPER,CONEY","GROUPER,GOLIATH","GROUPER,NASSAU","TUNA,SKIPJACK","TUNNY,LITTLE","BARRACUDA,SOUTHERN SENNNET","CHUB,RUDDERFISH",DOLPHINFISH,"GOATFISH,YELLOW","GRUNT,MARGATE","GRUNT,UNSPECIFIED","HALFBEAK,SILVERSTRIPE","MARLIN,BLUE",SQUIRRELFISH,"TRUNKFISH,UNSPECIFIED","WRASSE,SPANISH HOGFISH",BARBU,"DRUM,UNSPECIFIED","DRUMMER,WHITEMOUTH",WAHOO,"CRAB,UNSPECIFIED","GROUPER,YELLOWFIN",BLUE RUNNER,"HERRING,ATLANTIC THREAD","JACK,HORSE-EYE",RAINBOW RUNNER,"SCAD,BIGEYE","SNAPPER,BLACK","TILEFISH,SAND","TARPON,UNSPECIFIED","GROUPER,ROCK HIND","SCAD,MACKEREL",BONEFISH,"BONEFISH,UNSPECIFIED",HOUNDFISH,"JACK,YELLOW","MOJARRA,SILVER JENNY","SARDINE,SCALED","SCAD,ROUND","BARRACUDA,GUAGUANCHE","GROUPER,MISTY","SNAPPER,BLACKFIN",BIGEYE,"GRUNT,TOMTATE","PORGY,SEA BREAM","SNAPPER,CARDINAL","TUNA,ALBACORE","SURGEONFISH,OCEAN","CRAB,SPECKLED SWIMMING","SNAPPER,CUBERA","SNAPPER,DOG","TOPSNAIL,WEST INDIAN","CUTLASSFISH,ATLANTIC","DRUMMER,MONGOLAR","POMPANO,AFRICAN","SNAPPER,MAHOGANY","GROUPER,RED",TOBACCOFISH,"GRUNT,SMALLMOUTH","BURRFISHES,UNSPECIFIED","SNAPPER,GRAY","MOJARRA,YELLOWFIN",SAILFISH,"PUFFER,BANDTAIL","PORGY,JOLTHEAD","RAY,SPOTTED EAGLE","GROUPER,TIGER","BARRACUDA,GREAT","HERRING,DWARF","SARDINE,REDEAR","STINGRAY,SOUTHERN","TRIGGERFISH,OCEAN","REMORA,SHARKSUCKER","PARROTFISH,REDTAIL","STINGRAYS,UNSPECIFIED","TILEFISH,BLACKLINE","ANGELFISH,GRAY","BUTTERFLYFISH,FOUREYE","LOBSTER,SPANISH SLIPPER","BIGEYE,UNSPECIFIED","DURGON,BLACK","JACK,ALMACO","RAYS,EAGLE","RAYS,MANTA",SPANISH FLAG,"CUTLASSFISH,UNSPECIFIED","PARROTFISH,RAINBOW",TRIPLETAIL,"CARDINALFISH,UNSPECIFIED","GRUNT,BLUESTRIPED","JACK,BLACK","DAMSELFISH,BROWN CHROMIS","SCOMBROPS,ATLANTIC","SHARK,LEMON","SHARK,REEF","GROUPER,YELLOWEDGE","LIONFISH,UNSPECIFIED","SHARK,SHARPNOSE SEVENGILL","SHARK,TIGER","ANGELFISH,FRENCH","ANGELFISH,QUEEN",BARRACUDA,"COWFISH,HONEYCOMBED","GRUNT,FRENCH",LIONFISH,"PARROTFISH,PRINCESS","PARROTFISH,QUEEN","PARROTFISH,REDBAND","PARROTFISH,REDFIN","PARROTFISH,STOPLIGHT",SCHOOLMASTER,"SNAPPER,WENCHMAN","SQUIRRELFISH,LONGSPINE","SURGEONFISH,BLUE TANG","SURGEONFISH,DOCTORFISH","GRUNT,CAESAR","TRUNKFISH,SPOTTED","COWFISH,SCRAWLED","PORGY,SHEEPSHEAD (CALAMUS)","SHARKS,REQUIEM,UNSPECIFIED","GROUPER,GRAYSBY","NEEDLEFISH,UNSPECIFIED","PORGY,SAUCEREYE","TUNA,BIGEYE","GRUNT,COTTONWICK",TRUNKFISH,"SQUIDS,UNSPECIFIED","LOBSTER,RIDGED SLIPPER","SHARK,HAMMERHEAD","SNAPPER,SCHOOLMASTER","GROUPER,YELLOWMOUTH","CRAB,CORAL","SHARK,NURSE","CHUB,BERMUDA",JACKS,"SNAPPER, MAHOGANY","COWFISH,HONEYCOMB","HIND, ROCK",HERRINGS,"TUNA,UNSPECIFIED","SWORDFISH,UNSPECIFIED","GROUPER, BLACK","JACK, ALMACO",NASSAU GROUPER,"BASSES,SEA",CARDINAL,CERO,CONEY,"FISH,LION",GRUNTS,"HIND,RED",OCTOPUS,PARROTFISHES,PORGIES,SNAPPERS,"TOPSHELL,WESTINDIAN",GRAYSBY,HERRING,MOJARRAS,"TRIGGERFISH,GREY",WENCHMAN,"CHROMIS,BROWN","DOLPHIN,POMPANO",CUBERA,SNOOK,"SNOOK,FAT","RUNNER,BLUE","CRAB,LAND",GOATFISHES,"HERRING,THREAD","HIND,ROCK","RUNNER,RAINBOW", ,TRIP_YEAR,ISLAND,FISHING_ZONE
1983-PR-EAST,1790.163937,2298.360657,12240.983644,77632.786884,281.967216,772.1311460000001,15096.721331,19465.573819,109224.590262,140045.901708,103.27869,29965.573792,649.180331,73455.737796,85040.983613,1085.2459,1842.62295,1719.672158,32129.508257,13622.950826,436.06557599999996,46088.524616,12731.147558999999,15890.163948,7016.39346,75816.393501,13922.95082,9321.311485,24291.803333,1654.098361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1983,PR,EAST
1983-PR-NORTH,1018.032787,15406.557378000001,0,14790.163938,2686.885249,24939.344259999998,130355.737712,0,25622.950837,16434.426245,29962.295185,1862.295087,31155.737724,12867.213122,44837.704908,13081.967211,22306.557374,3960.655741,3113.114756,0,1949.180328,11872.131153,5829.508196,60719.672157,35485.245916,71070.491804,32134.426237,2193.442622,4088.524593,22249.180328,8268.85246,683.606558,81.967214,345.901639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1983,PR,NORTH
1983-PR-SOUTH,9437.704917000001,8350.819678,14350.819689,108827.868849,0,9595.081968999999,65195.081961,79198.360647,115819.672142,231044.26227,972.131147,32393.442608,7347.540985,195031.14758699998,109575.409829,385.245901,42054.09836,24672.131158,104422.950797,33365.573765,578.688527,109949.18032099999,46914.754095,48370.491804,21849.180335,50644.262284,11547.540984,2078.6885199999997,31578.688524,673.770495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1983,PR,SOUTH
1983-PR-WEST,18526.229511,11909.836064,37526.229503,453816.393442,0,30270.491807000002,75303.278689,166462.295085,287893.44261,273754.098358,372.131147,50921.311472,28749.180325,165727.868861,119670.491796,888.52459,22093.44262,1511.475408,240493.44261600001,87360.65574,1944.262295,104291.803275,36793.442613,522555.737703,41073.77049,71668.85246,7501.63934,10795.081968,83524.590168,281804.91802,3308.196721,0,0,0,66850.819669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1983,PR,WEST
1984-PR-EAST,86.440678,0,14767.796621,54155.932205,145.762711,577.966103,13076.271202,12574.57629,83261.016971,100852.542396,113.559323,9749.152552,179.66101700000002,68977.966127,43705.084756000004,866.101695,849.152543,1571.186453,15366.101709,11359.322046,0,27703.389848,7944.067805,13496.610178,3481.355935,52222.033916,1866.101694,830.508477,25732.2034,76.271187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1984,PR,EAST
1984-PR-NORTH,313.559323,9084.745768,0,11071.186442,1845.7627149999998,12708.47458,131528.813571,0,18052.542407,13649.152541,29771.186494,972.8813570000001,22530.508487,8313.559337,36398.305105,13100.000007999999,17281.355945,4215.254247,828.813559,0,2025.4237320000002,12928.813577,5633.898313,58325.423765,13596.610191,48108.474597,25223.728824,2854.237298,5074.576281,8442.372885,8745.762714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1984,PR,NORTH
1984-PR-SOUTH,11561.016951,4764.4067780000005,10684.745772,65550.84746,0,393.22033899999997,31208.474608,47408.474589,99762.711891,140227.11868400002,366.101695,36388.135604,3323.728816,152428.813671,105461.016949,110.169492,32594.915261000002,18622.033921,79472.881358,14357.627137,0,102742.372907,33669.491555,54503.389835,9352.542386,59357.627134,4149.152548,320.338984,26832.203411,940.677966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1984,PR,SOUTH
1984-PR-WEST,2144.0677960000003,927.118646,37281.355927,368837.288136,0,4169.4915280000005,68966.10169,151144.067794,333691.525412,303188.135605,0,69261.016947,21893.22034,189293.220329,78730.508486,438.983049,14933.898307,3528.813559,293083.050847,86193.220341,2735.5932199999997,107679.661001,37871.186435999996,476420.338989,32174.576268,64459.322029,8305.084751,12818.644067,62674.57627,96815.254248,0,0,0,0,67503.389833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1984,PR,WEST
1985-PR-EAST,1757.142857,1646.428572,9503.571434,123899.999998,0,233.92857,41317.857145,10883.928578,121833.92857,100323.214261,903.57143,9255.357147,0,60060.714295,84739.285707,0,58.928571,1073.2142920000001,25380.357142,11712.500001,185.714285,30708.928585,9360.714283,13212.499998,5560.714284,80646.428573,1664.285715,5989.285707,20428.571434999998,2255.357141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1985,PR,EAST
1985-PR-NORTH,6703.571429,5348.214284,0,4882.142857,1282.14286,13494.642857,139130.357161,0,14608.928569,8592.857144,30117.857165,369.642856,30669.64285,8712.500001,30155.357149,11428.571427,14835.714289,2187.4999980000002,2587.499999,0,592.8571440000001,15846.428566999999,8014.28571,64485.714276,6907.142852,51883.928576,21782.142862,855.357143,3024.999997,17642.857141,1980.357144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",1985,PR,NORTH
